RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
101,Tyler Davis (GB) ,4,7,26,6.5,23,1,0,0,0,0,0,11,2.6,0.2,0.1%,2023
102,Ben Ellefson (FA) ,3,3,26,8.7,12,0,0,0,0,0,0,2,2.6,1.3,0.0%,2023
103,Cole Turner (WAS) ,2,9,23,11.5,18,0,0,0,0,0,0,7,2.3,0.3,0.1%,2023
104,Jesper Horsted (LV) ,3,4,19,6.3,9,0,0,0,0,0,0,5,1.9,0.4,0.0%,2023
105,Maxx Williams (FA) ,3,3,18,6.0,7,0,0,0,0,0,0,3,1.8,0.6,0.0%,2023
106,Stone Smartt (LAC) ,4,5,17,4.3,8,0,0,0,0,0,0,3,1.7,0.6,0.0%,2023
107,Sean McKeon (DAL) ,2,3,11,5.5,10,0,0,0,0,0,0,3,1.1,0.4,0.0%,2023
108,Stephen Anderson (FA) ,3,7,9,3.0,6,0,0,0,0,0,0,9,0.9,0.1,0.0%,2023
109,Jeremy Ruckert (NYJ) ,1,2,8,8.0,8,0,0,0,0,0,0,2,0.8,0.4,0.2%,2023
110,Tommy Sweeney (NYG) ,1,1,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%,2023
111,Mason Schreck (HOU) ,2,2,6,3.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0%,2023
112,Jacob Harris (JAC) ,1,1,6,6.0,6,0,0,0,0,0,0,3,0.6,0.2,0.0%,2023
113,Devin Asiasi (CIN) ,2,4,5,2.5,6,0,0,0,0,0,0,5,0.5,0.1,0.1%,2023
114,Richard Rodgers (FA) ,1,4,4,4.0,4,0,0,0,0,0,0,3,0.4,0.1,0.0%,2023
115,Tyree Jackson (PHI) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2023
116,Alize Mack (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
117,Stephen Carlson (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
118,Mitchell Fraboni (DEN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
119,Brandon Dillon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
120,Kaden Smith (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
121,Hakeem Butler (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
122,J.J. Arcega-Whiteside (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
123,Feleipe Franks (ATL) ,0,2,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0%,2023
124,Tommy Hudson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
125,Noah Togiai (ARI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
126,Lawrence Cager (NYG) ,13,19,118,9.1,20,1,1,0,0,0,0,6,0.0,0.0,0.1%,2023
127,Reggie Gilliam (BUF) ,9,11,76,8.4,14,0,1,0,0,0,0,8,0.0,0.0,0.1%,2023
128,Rashod Berry (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2023
129,Scotty Washington (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
130,Nick Bowers (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
131,Jake Bargas (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
132,Charlie Woerner (SF) ,0,2,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2023
133,Matt Sokol (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
134,Matthew Orzech (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
135,Jared Pinkney (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
136,Chase Allen (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
137,Dalton Keene (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
138,Curtis Hodges (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
139,Andrew Ogletree (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
140,Seth Green (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
141,Chris Pierce Jr. (ARI) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
142,Leroy Watson (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
143,Jake Tonges (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
144,Rodney Williams (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
145,Davis Allen (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
146,Austin Allen (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
147,Will Mallory (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
148,Derrick Deese Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
149,Noah Gindorff (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
150,Nikola Kalinic (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
151,John FitzPatrick (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
152,Tanner Conner (MIA) ,0,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
153,Gerrit Prince (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
154,Nick Muse (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
155,Lucas Krull (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
156,Cameron Latu (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2023
157,Dre Miller (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
158,Brayden Willis (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
159,Joel Wilson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
160,Michael Ezeike (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
161,Christian Sims (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
162,Joel Honigford (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
163,Blake Whiteheart (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
164,Henry Pearson (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
165,Camren McDonald (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
166,Griffin Hebert (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
167,Christian Trahan (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
168,Patrick Murtagh (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
169,Brady Russell (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
170,E.J. Jenkins (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
171,Thomas Greaney (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
172,Travis Vokolek (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
173,Julian Hill (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
