RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
132,Jordan Reed (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,19.0%,2019
133,Dion Sims (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
134,Antonio Gates (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,2019
135,Clark Harris (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2019
136,Jermaine Gresham (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
137,Ed Dickson (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
138,Rob Gronkowski (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2%,2019
139,Mason Schreck (HOU) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019
140,Jason Vander Laan (FA) ,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2019
141,Jake Butt (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2019
142,Mitchell Loewen (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
143,Jason Croom (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
144,Evan Baylis (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2019
145,David Morgan II (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
146,Alex Ellis (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019
147,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2019
148,Cole Wick (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
149,Alan Cross (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
150,Jerell Adams (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
151,Jordan Franks (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
152,Donnie Ernsberger (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
153,Garrett Dickerson (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2019
154,James Looney (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
155,Taysom Hill (NO) ,19,22,234,12.3,45,8,6,27,156,1,0,16,0.0,0.0,24.2%,2019
156,David Grinnage (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
157,Jerome Cunningham (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019
158,Kyle Nelson (FA) ,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,2019
159,Devin Funchess (FA) ,3,5,32,10.7,16,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
160,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%,2019
161,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2019
162,Tyler Ott (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2019
163,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2019
164,Kevin McDermott (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
165,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
166,Bronson Kaufusi (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019
167,Stephen Anderson (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
168,Matt Lengel (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2019
169,Neal Sterling (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
170,Khari Lee (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
171,Brian Parker (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
1,Travis Kelce (KC) ,105,145,"1,416",13.5,45,29,11,0,0,0,1,15,207.8,13.9,100.0%,2020
2,Darren Waller (NYG) ,107,145,"1,196",11.2,38,19,9,0,0,0,2,16,171.6,10.7,97.8%,2020
3,Robert Tonyan (CHI) ,52,59,586,11.3,45,13,11,0,0,0,0,16,124.6,7.8,1.8%,2020
4,Mark Andrews (BAL) ,58,88,701,12.1,39,13,7,0,0,0,0,14,112.1,8.0,99.9%,2020
5,T.J. Hockenson (MIN) ,67,101,723,10.8,51,10,6,1,0,0,1,16,108.3,6.8,99.8%,2020
6,Mike Gesicki (NE) ,53,85,703,13.3,70,14,6,0,0,0,0,15,106.3,7.1,39.1%,2020
7,Logan Thomas (WAS) ,72,110,670,9.3,30,6,6,3,5,0,0,16,104.6,6.5,3.0%,2020
8,Rob Gronkowski (FA) ,45,77,623,13.8,48,16,7,0,0,0,0,16,104.3,6.5,1.2%,2020
9,Jonnu Smith (ATL) ,41,65,448,10.9,63,8,8,2,4,1,0,15,99.2,6.6,0.8%,2020
10,Jimmy Graham (FA) ,50,76,456,9.1,30,5,8,0,0,0,0,16,93.6,5.9,0.0%,2020
11,Hayden Hurst (CAR) ,56,88,571,10.2,42,8,6,0,0,0,0,16,93.1,5.8,10.7%,2020
12,Jared Cook (FA) ,37,60,504,13.6,46,12,7,0,0,0,1,15,90.4,6.0,0.0%,2020
13,Noah Fant (SEA) ,62,93,673,10.9,37,11,3,0,0,0,0,15,87.3,5.8,8.4%,2020
14,Eric Ebron (FA) ,56,91,558,10.0,27,6,5,0,0,0,1,15,85.8,5.7,0.0%,2020
15,Hunter Henry (NE) ,60,93,613,10.2,33,6,4,0,0,0,0,14,85.3,6.1,5.9%,2020
16,Tyler Higbee (LAR) ,44,60,521,11.8,44,14,5,1,1,0,0,15,84.2,5.6,72.6%,2020
17,Dalton Schultz (HOU) ,63,89,615,9.8,28,3,4,0,0,0,1,16,83.5,5.2,88.7%,2020
18,Evan Engram (JAC) ,63,109,654,10.4,53,12,1,6,26,1,1,16,78.0,4.9,94.5%,2020
19,George Kittle (SF) ,48,63,634,13.2,44,13,2,2,17,0,0,8,77.1,9.6,98.9%,2020
20,Dallas Goedert (PHI) ,46,65,524,11.4,41,11,3,0,0,0,0,11,70.4,6.4,96.8%,2020
21,Irv Smith Jr. (CIN) ,30,43,365,12.2,36,7,5,0,0,0,0,13,68.5,5.3,22.2%,2020
22,Austin Hooper (LV) ,46,70,435,9.5,36,4,4,0,0,0,0,13,67.5,5.2,2.3%,2020
23,Dan Arnold (PHI) ,31,45,438,14.1,59,13,4,0,0,0,1,16,65.8,4.1,0.1%,2020
24,Trey Burton (FA) ,28,47,250,8.9,20,1,3,2,3,2,0,13,55.3,4.3,0.0%,2020
25,Darren Fells (FA) ,21,28,312,14.9,44,6,4,0,0,0,0,16,55.2,3.5,0.0%,2020
26,Gerald Everett (LAC) ,41,62,417,10.2,40,5,1,1,2,1,1,16,51.9,3.2,56.9%,2020
27,Mo Alie-Cox (IND) ,31,39,394,12.7,45,9,2,0,0,0,1,15,49.4,3.3,0.7%,2020
28,Jordan Reed (FA) ,26,46,231,8.9,26,1,4,0,0,0,0,10,47.1,4.7,19.0%,2020
29,Tyler Eifert (FA) ,36,60,349,9.7,28,1,2,0,0,0,0,15,46.9,3.1,0.0%,2020
30,Jordan Akins (CLE) ,37,49,403,10.9,26,7,1,1,4,0,0,13,46.7,3.6,0.6%,2020
31,Richard Rodgers (FA) ,24,31,345,14.4,33,7,2,0,0,0,0,14,46.5,3.3,0.0%,2020
32,Anthony Firkser (NE) ,39,53,387,9.9,45,6,1,0,0,0,0,16,44.7,2.8,0.0%,2020
33,Dawson Knox (BUF) ,24,44,288,12.0,36,4,3,0,0,0,2,12,42.8,3.6,53.7%,2020
34,Chris Herndon IV (FA) ,31,46,287,9.3,26,3,3,0,0,0,2,16,42.7,2.7,0.0%,2020
35,Zach Ertz (ARI) ,36,72,335,9.3,42,7,1,0,0,0,0,11,41.5,3.8,37.8%,2020
36,Jack Doyle (FA) ,23,33,251,10.9,28,2,3,0,0,0,1,14,41.1,2.9,2.0%,2020
37,Jacob Hollister (FA) ,25,40,209,8.4,20,1,3,0,0,0,0,16,40.9,2.6,0.0%,2020
38,Cameron Brate (FA) ,28,34,282,10.1,25,2,2,0,0,0,0,16,40.2,2.5,1.1%,2020
39,Drew Sample (CIN) ,40,53,349,8.7,23,1,1,0,0,0,1,16,38.9,2.4,0.1%,2020
40,Harrison Bryant (CLE) ,24,38,238,9.9,35,2,3,0,0,0,2,15,37.8,2.5,0.7%,2020
41,Kyle Rudolph (FA) ,28,37,334,11.9,25,5,1,0,0,0,1,12,37.4,3.1,0.0%,2020
42,Will Dissly (SEA) ,24,29,251,10.5,28,3,2,0,0,0,0,16,37.1,2.3,1.3%,2020
43,Cole Kmet (CHI) ,28,44,243,8.7,38,2,2,1,-3,0,1,16,34.0,2.1,86.7%,2020
44,Donald Parham Jr. (LAC) ,10,20,159,15.9,26,4,3,0,0,0,0,13,33.9,2.6,0.3%,2020
45,David Njoku (CLE) ,19,29,213,11.2,28,4,2,0,0,0,0,13,33.3,2.6,92.3%,2020
46,Adam Shaheen (FA) ,12,22,150,12.5,43,4,3,0,0,0,0,16,33.0,2.1,0.0%,2020
47,Durham Smythe (MIA) ,26,29,208,8.0,19,0,2,0,0,0,0,15,32.8,2.2,0.3%,2020
48,Ross Dwelley (SF) ,19,24,245,12.9,36,4,1,0,0,0,0,16,30.5,1.9,0.1%,2020
49,Tyler Kroft (MIA) ,12,16,119,9.9,38,2,3,0,0,0,0,10,29.9,3.0,0.0%,2020
50,Greg Olsen (FA) ,24,37,239,10.0,22,3,1,0,0,0,0,11,29.9,2.7,7.0%,2020
51,Marcedes Lewis (FA) ,10,17,107,10.7,36,2,3,0,0,0,0,15,28.7,1.9,0.0%,2020
52,Pharaoh Brown (IND) ,14,16,163,11.6,29,2,2,0,0,0,0,13,28.3,2.2,0.0%,2020
53,O.J. Howard (LV) ,11,19,146,13.3,33,3,2,0,0,0,0,4,26.6,6.7,0.6%,2020
54,James O'Shaughnessy (FA) ,28,38,262,9.4,26,3,0,0,0,0,0,15,26.2,1.7,0.0%,2020
55,Foster Moreau (NO) ,7,9,140,20.0,47,7,2,0,0,0,0,16,26.0,1.6,0.7%,2020
56,Tyler Conklin (NYJ) ,19,26,194,10.2,30,3,1,0,0,0,0,16,25.4,1.6,10.3%,2020
57,Jesse James (NO) ,14,22,129,9.2,31,3,2,0,0,0,0,16,24.9,1.6,0.0%,2020
58,Nick Boyle (FA) ,14,17,113,8.1,21,1,2,0,0,0,0,9,23.3,2.6,0.0%,2020
59,Adam Trautman (DEN) ,15,16,171,11.4,41,4,1,0,0,0,0,15,23.1,1.5,0.6%,2020
60,Ian Thomas (CAR) ,20,31,145,7.3,21,1,1,0,0,0,0,16,20.5,1.3,0.1%,2020
61,Jason Witten (FA) ,13,17,69,5.3,15,0,2,0,0,0,0,16,18.9,1.2,0.0%,2020
62,Albert Okwuegbunam (DEN) ,11,15,121,11.0,27,1,1,0,0,0,0,4,18.1,4.5,0.7%,2020
63,Ryan Izzo (FA) ,13,20,199,15.3,50,6,0,0,0,0,1,12,17.9,1.5,0.0%,2020
64,Jace Sternberger (FA) ,12,15,114,9.5,27,2,1,0,0,0,0,12,17.4,1.5,0.0%,2020
65,MyCole Pruitt (FA) ,5,8,49,9.8,22,1,2,0,0,0,0,11,16.9,1.5,0.0%,2020
66,Maxx Williams (FA) ,8,10,102,12.8,42,4,1,0,0,0,0,9,16.2,1.8,0.0%,2020
67,Lee Smith (FA) ,4,6,35,8.8,27,1,2,0,0,0,0,10,15.5,1.6,0.0%,2020
68,Nick Vannett (FA) ,14,21,95,6.8,19,0,1,0,0,0,0,15,15.5,1.0,0.0%,2020
69,Darrell Daniels (FA) ,8,11,92,11.5,31,3,1,0,0,0,0,12,15.2,1.3,0.0%,2020
70,C.J. Uzomah (NYJ) ,8,11,87,10.9,23,1,1,0,0,0,0,2,14.7,7.4,0.7%,2020
71,Geoff Swaim (FA) ,9,12,83,9.2,16,0,1,0,0,0,0,10,14.3,1.4,0.0%,2020
72,Troy Fumagalli (SF) ,8,15,80,10.0,29,1,1,0,0,0,0,8,14.0,1.8,0.0%,2020
73,Blake Bell (KC) ,11,15,110,10.0,24,1,0,1,2,0,0,16,11.2,0.7,0.1%,2020
74,Kaden Smith (IND) ,18,21,112,6.2,16,0,0,0,0,0,0,15,11.2,0.7,0.0%,2020
75,Virgil Green (FA) ,3,6,50,16.7,26,1,1,0,0,0,0,6,11.0,1.8,0.0%,2020
76,Stephen Anderson (FA) ,8,11,106,13.3,23,1,0,0,0,0,0,16,10.6,0.7,0.0%,2020
77,Josh Hill (FA) ,8,10,46,5.8,16,0,1,0,0,0,0,14,10.6,0.8,0.0%,2020
78,Vance McDonald (FA) ,15,20,99,6.6,15,0,0,0,0,0,0,14,9.9,0.7,0.0%,2020
79,Devin Asiasi (CIN) ,2,7,39,19.5,26,1,1,0,0,0,0,8,9.9,1.2,0.1%,2020
80,Ryan Griffin (FA) ,9,12,86,9.6,23,1,0,0,0,0,0,15,8.6,0.6,0.0%,2020
81,Dominique Dafney (TB) ,2,2,26,13.0,13,0,1,0,0,0,0,5,8.6,1.7,0.0%,2020
82,Colin Thompson (FA) ,1,2,7,7.0,7,0,1,0,0,0,0,15,6.7,0.4,0.0%,2020
83,Jason Croom (FA) ,1,1,3,3.0,3,0,1,0,0,0,0,4,6.3,1.6,0.0%,2020
84,Luke Stocker (FA) ,7,11,63,9.0,25,1,0,0,0,0,0,16,6.3,0.4,0.0%,2020
85,Jordan Thomas (CAR) ,1,2,3,3.0,3,0,1,0,0,0,0,6,6.3,1.1,0.0%,2020
86,Cethan Carter (FA) ,5,7,53,10.6,24,2,0,0,0,0,0,15,5.3,0.4,0.0%,2020
87,Johnny Mundt (MIN) ,4,4,53,13.3,34,2,0,0,0,0,0,16,5.3,0.3,0.1%,2020
88,Chris Manhertz (DEN) ,6,8,52,8.7,17,0,0,0,0,0,0,16,5.2,0.3,0.1%,2020
89,Levine Toilolo (FA) ,5,6,46,9.2,14,0,0,0,0,0,0,16,4.6,0.3,0.0%,2020
90,Demetrius Harris (FA) ,7,14,45,6.4,9,0,0,0,0,0,0,15,4.5,0.3,0.0%,2020
91,Hunter Bryant (FA) ,1,3,44,44.0,44,3,0,0,0,0,0,5,4.4,0.9,0.0%,2020
92,Nick Keizer (FA) ,6,10,63,10.5,22,1,0,0,0,0,1,16,4.3,0.3,0.0%,2020
93,Tanner Hudson (CIN) ,3,7,41,13.7,20,1,0,0,0,0,0,11,4.1,0.4,0.1%,2020
94,Juwan Johnson (NO) ,4,10,39,9.8,19,0,0,0,0,0,0,7,3.9,0.6,39.1%,2020
95,Deon Yelder (FA) ,7,11,36,5.1,12,0,0,0,0,0,0,14,3.6,0.3,0.0%,2020
96,Charlie Woerner (SF) ,3,4,36,12.0,18,0,0,0,0,0,0,14,3.6,0.3,0.0%,2020
97,Kahale Warring (FA) ,3,7,35,11.7,23,1,0,0,0,0,0,7,3.5,0.5,0.0%,2020
98,Daniel Brown (FA) ,2,2,31,15.5,18,0,0,0,0,0,0,16,3.1,0.2,0.0%,2020
99,Stephen Carlson (CHI) ,1,2,11,11.0,11,0,0,0,0,0,0,16,3.1,0.2,0.0%,2020
100,Ben Ellefson (FA) ,1,4,10,10.0,10,0,0,0,0,0,0,7,3.0,0.4,0.0%,2020
101,Jaeden Graham (FA) ,3,5,25,8.3,11,0,0,0,0,0,0,16,2.5,0.2,0.0%,2020
102,Colby Parkinson (SEA) ,2,2,16,8.0,10,0,0,0,0,0,0,6,1.6,0.3,0.1%,2020
103,Dalton Keene (PHI) ,3,5,16,5.3,8,0,0,0,0,0,0,6,1.6,0.3,0.0%,2020
104,Eric Saubert (MIA) ,3,4,16,5.3,9,0,0,0,0,0,0,8,1.6,0.2,0.2%,2020
105,Derek Carrier (FA) ,1,1,14,14.0,14,0,0,0,0,0,0,16,1.4,0.1,0.0%,2020
106,Blake Jarwin (FA) ,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,4.0%,2020
107,Josiah Deguara (GB) ,1,2,12,12.0,12,0,0,0,0,0,0,2,1.2,0.6,0.2%,2020
108,Luke Willson (FA) ,1,3,12,12.0,12,0,0,0,0,0,0,8,1.2,0.2,0.0%,2020
109,Temarrick Hemingway (FA) ,1,2,10,10.0,10,0,0,0,0,0,0,8,1.0,0.1,0.0%,2020
110,Brandon Dillon (WAS) ,1,1,6,6.0,6,0,0,0,0,0,0,3,0.6,0.2,0.0%,2020
111,Jeremy Sprinkle (FA) ,1,3,6,6.0,6,0,0,0,0,0,0,16,0.6,0.0,0.0%,2020
112,Trevon Wesco (TEN) ,1,2,5,5.0,5,0,0,1,0,0,0,12,0.5,0.0,0.1%,2020
113,Jake Butt (FA) ,2,4,5,2.5,5,0,0,0,0,0,0,5,0.5,0.1,0.1%,2020
114,Isaac Nauta (FA) ,1,2,3,3.0,3,0,0,0,0,0,0,7,0.3,0.0,0.0%,2020
115,Bruce Miller (FA) ,1,2,2,2.0,2,0,0,0,0,0,0,8,0.2,0.0,0.0%,2020
116,Marcus Baugh (FA) ,1,1,2,2.0,2,0,0,0,0,0,0,8,0.2,0.0,0.0%,2020
117,Matt Sokol (NE) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2020
118,Chris Myarick (NYG) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2020
119,Brycen Hopkins (LAR) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1%,2020
120,Antonio Gandy-Golden (FA) ,1,7,3,3.0,3,0,0,1,22,0,0,6,0.0,0.0,0.0%,2020
121,Hakeem Butler (PIT) ,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2020
122,J.J. Arcega-Whiteside (ATL) ,4,8,85,21.3,37,4,0,0,0,0,0,8,0.0,0.0,0.0%,2020
123,Daniel Helm (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2020
124,Nate Becker (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
125,Caleb Wilson (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2020
126,Zach Gentry (PIT) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2020
127,Andrew Beck (HOU) ,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%,2020
128,Hale Hentges (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
129,Farrod Green (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
130,Jake Bargas (NO) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
131,Noah Togiai (ARI) ,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2020
132,Stephen Sullivan (CAR) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
133,Lawrence Cager (NYG) ,2,6,35,17.5,19,0,0,0,0,0,0,2,0.0,0.0,0.1%,2020
134,Sean McKeon (DAL) ,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%,2020
135,Tyler Davis (GB) ,0,2,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.1%,2020
136,Tommy Stevens (FA) ,0,0,0,0,0,0,0,4,24,0,0,1,0.0,0.0,0.0%,2020
137,Reggie Gilliam (BUF) ,2,2,16,8.0,15,0,1,0,0,0,0,14,0.0,0.0,0.1%,2020
138,Rashod Berry (IND) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,1.0%,2020
139,Jordan Matthews (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2020
140,Clark Harris (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2020
141,Garrett Griffin (FA) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2020
142,Antony Auclair (FA) ,0,1,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2020
143,Mason Schreck (HOU) ,0,1,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%,2020
144,Ricky Seals-Jones (FA) ,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2020
145,J.P. Holtz (FA) ,0,1,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2020
146,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2020
147,Kevin Rader (TEN) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2020
148,Evan Baylis (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2020
149,Sean Culkin (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
150,Taysom Hill (NO) ,8,13,98,12.3,21,2,1,87,457,8,5,16,0.0,0.0,24.2%,2020
151,Kyle Nelson (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2020
152,Eric Tomlinson (FA) ,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2020
153,Ross Travis (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020
154,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.2%,2020
155,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%,2020
156,Tyler Ott (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2020
157,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%,2020
158,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2020
159,Seth DeValve (FA) ,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2020
1,Mark Andrews (BAL) ,107,153,"1,361",12.7,43,27,9,1,0,0,0,17,194.1,11.4,99.9%,2021
2,Travis Kelce (KC) ,92,134,"1,125",12.2,69,20,9,2,3,1,1,16,170.8,10.7,100.0%,2021
3,Dalton Schultz (HOU) ,78,104,808,10.4,32,8,8,0,0,0,0,17,130.8,7.7,88.7%,2021
4,George Kittle (SF) ,71,94,910,12.8,48,17,6,3,20,0,1,14,127.0,9.1,98.9%,2021
5,Rob Gronkowski (FA) ,55,88,802,14.6,42,20,6,0,0,0,0,12,116.2,9.7,1.2%,2021
6,Dawson Knox (BUF) ,49,71,587,12.0,53,14,9,0,4,0,0,15,115.1,7.7,53.7%,2021
7,Hunter Henry (NE) ,50,75,603,12.1,35,12,9,0,0,0,0,16,114.3,7.1,5.9%,2021
8,Dallas Goedert (PHI) ,56,76,830,14.8,45,18,4,0,0,0,0,15,109.0,7.3,96.8%,2021
9,Kyle Pitts (ATL) ,68,110,"1,026",15.1,61,25,1,0,0,0,0,17,108.6,6.4,96.1%,2021
10,Zach Ertz (ARI) ,74,112,763,10.3,47,9,5,1,4,0,0,17,106.7,6.3,37.8%,2021
11,Mike Gesicki (NE) ,73,112,780,10.7,40,15,2,0,0,0,0,17,92.0,5.4,39.1%,2021
12,Pat Freiermuth (PIT) ,60,79,497,8.3,24,2,7,0,0,0,1,16,91.7,5.7,92.9%,2021
13,Noah Fant (SEA) ,68,90,670,9.9,35,9,4,0,0,0,0,16,91.0,5.7,8.4%,2021
14,Tyler Higbee (LAR) ,61,85,560,9.2,37,4,5,0,0,0,0,15,86.0,5.7,72.6%,2021
15,Jared Cook (FA) ,48,83,564,11.8,42,9,4,0,0,0,0,16,84.4,5.3,0.0%,2021
16,T.J. Hockenson (MIN) ,61,84,583,9.6,33,9,4,0,0,0,0,12,84.3,7.0,99.8%,2021
17,C.J. Uzomah (NYJ) ,49,63,493,10.1,55,13,5,0,0,0,0,16,79.3,5.0,0.7%,2021
18,Darren Waller (NYG) ,55,93,665,12.1,33,15,2,0,0,0,0,11,78.5,7.1,97.8%,2021
19,Tyler Conklin (NYJ) ,61,87,593,9.7,40,7,3,0,0,0,0,17,77.3,4.5,10.3%,2021
20,David Njoku (CLE) ,36,53,475,13.2,71,15,4,1,1,0,0,15,71.6,4.8,92.3%,2021
21,Gerald Everett (LAC) ,48,63,478,10.0,41,8,4,3,20,0,2,15,69.8,4.7,56.9%,2021
22,Cole Kmet (CHI) ,60,93,612,10.2,25,7,0,1,0,0,0,17,61.2,3.6,86.7%,2021
23,Evan Engram (JAC) ,46,73,408,8.9,30,3,3,1,-3,0,1,15,56.5,3.8,94.5%,2021
24,Mo Alie-Cox (IND) ,24,45,316,13.2,37,6,4,0,0,0,0,17,55.6,3.3,0.7%,2021
25,Foster Moreau (NO) ,30,44,373,12.4,44,9,3,0,0,0,0,15,55.3,3.7,0.7%,2021
26,Austin Hooper (LV) ,38,61,345,9.1,34,5,3,0,0,0,0,15,54.5,3.6,2.3%,2021
27,Jack Doyle (FA) ,29,43,302,10.4,34,4,3,0,0,0,0,15,50.2,3.3,2.0%,2021
28,Cameron Brate (FA) ,30,57,245,8.2,18,0,4,0,0,0,0,16,48.5,3.0,1.1%,2021
29,Albert Okwuegbunam (DEN) ,33,40,330,10.0,64,6,2,0,0,0,1,14,43.0,3.1,0.7%,2021
30,Harrison Bryant (CLE) ,21,28,233,11.1,41,6,3,0,0,0,0,15,41.3,2.8,0.7%,2021
31,Dan Arnold (PHI) ,35,52,408,11.7,28,2,0,0,0,0,1,11,40.8,3.7,0.1%,2021
32,Juwan Johnson (NO) ,13,22,159,12.2,27,3,4,0,0,0,0,13,39.9,3.1,39.1%,2021
33,Jonnu Smith (ATL) ,28,45,294,10.5,28,5,1,9,40,0,0,16,39.4,2.5,0.8%,2021
34,Anthony Firkser (NE) ,34,43,291,8.6,24,1,2,0,0,0,1,15,39.1,2.6,0.0%,2021
35,Ricky Seals-Jones (FA) ,30,49,271,9.0,39,2,2,0,0,0,0,11,39.1,3.6,0.0%,2021
36,Geoff Swaim (FA) ,31,40,210,6.8,26,2,3,0,0,0,0,16,39.0,2.4,0.0%,2021
37,Donald Parham Jr. (LAC) ,20,27,190,9.5,22,1,3,0,0,0,0,14,39.0,2.8,0.3%,2021
38,Ryan Griffin (FA) ,27,42,261,9.7,29,4,2,0,0,0,0,14,38.1,2.7,0.0%,2021
39,Hayden Hurst (CAR) ,26,31,221,8.5,33,2,3,0,0,0,1,12,38.1,3.2,10.7%,2021
40,Jimmy Graham (FA) ,14,23,167,11.9,28,2,3,0,0,0,0,11,36.7,3.3,0.0%,2021
41,Josiah Deguara (GB) ,25,33,245,9.8,62,6,2,0,0,0,0,14,36.5,2.6,0.2%,2021
42,Adam Trautman (DEN) ,27,43,263,9.7,32,3,2,0,0,0,1,11,36.3,3.3,0.6%,2021
43,Durham Smythe (MIA) ,34,41,357,10.5,25,5,0,2,3,0,0,16,36.0,2.3,0.3%,2021
