RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,OWN,Year
108,Raheem Blackshear (FA),15,80,5.3,26,1,0,0,0,0,0,0,0,16,8.0,0.5,0.8%,2024
109,Jeff Wilson Jr. (MIA),16,57,3.6,14,0,0,3,3,19,6.3,0,0,7,7.6,1.1,1.0%,2024
110,Eric Gray (NYG),14,31,2.2,6,0,0,10,11,82,8.2,0,2,16,7.3,0.5,1.0%,2024
111,Clyde Edwards-Helaire (KC),13,46,3.5,12,0,0,3,5,24,8.0,0,0,2,7.0,3.5,0.8%,2024
112,Tyler Badie (DEN),11,86,7.8,43,1,0,3,3,-2,-0.7,0,1,3,6.4,2.1,0.7%,2024
113,Kene Nwangwu (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,2,6.0,3.0,0.0%,2024
114,Keaton Mitchell (BAL),15,30,2.0,7,0,0,1,1,28,28.0,0,0,4,5.8,1.5,5.7%,2024
115,Sione Vaki (DET),6,14,2.3,7,0,0,3,3,37,12.3,0,0,12,5.1,0.4,1.1%,2024
116,Mike Boone (FA),13,51,3.9,9,0,0,1,3,-2,-2.0,0,0,5,4.9,1.0,1.0%,2024
117,Jonathon Brooks (CAR),9,22,2.4,9,0,0,3,3,23,7.7,0,0,3,4.5,1.5,0.8%,2024
118,J.J. Taylor (FA),10,44,4.4,9,0,0,2,3,0,0.0,0,0,4,4.4,1.1,0.6%,2024
119,Jacob Kibodi (FA),5,24,4.8,17,0,0,1,3,15,15.0,0,0,1,3.9,3.9,0.0%,2024
120,Travis Homer (CHI),6,23,3.8,6,0,0,3,3,11,3.7,0,0,9,3.4,0.4,0.6%,2024
121,Terrell Jennings (NE),13,33,2.5,7,0,0,0,1,0,0,0,0,2,3.3,1.7,0.0%,2024
122,Jermar Jefferson (FA),6,22,3.7,8,0,0,1,1,10,10.0,0,0,2,3.2,1.6,0.6%,2024
123,Jase McClellan (FA),13,32,2.5,8,0,0,0,0,0,0,0,0,3,3.2,1.1,1.0%,2024
124,Rasheen Ali (BAL),10,31,3.1,9,0,0,0,2,0,0,0,0,5,3.1,0.6,0.6%,2024
125,Dalvin Cook (FA),8,20,2.5,4,0,0,1,1,10,10.0,0,0,2,3.0,1.5,0.6%,2024
126,Blake Watson (FA),4,10,2.5,7,0,0,1,2,13,13.0,0,0,3,2.3,0.8,1.1%,2024
127,Jonathan Ward (FA),5,22,4.4,7,0,0,0,0,0,0,0,0,4,2.2,0.6,0.0%,2024
128,MarShawn Lloyd (GB),6,15,2.5,5,0,0,1,1,3,3.0,0,0,1,1.8,1.8,5.1%,2024
129,Aaron Shampklin (FA),6,17,2.8,5,0,0,0,0,0,0,0,0,3,1.7,0.6,1.1%,2024
130,Tyreik McAllister (FA),2,11,5.5,10,0,0,0,0,0,0,0,0,2,1.1,0.6,1.0%,2024
131,Myles Gaskin (FA),3,-1,-0.3,2,0,0,1,1,11,11.0,0,0,4,1.0,0.3,0.0%,2024
132,George Holani (SEA),3,10,3.3,8,0,0,1,1,-1,-1.0,0,0,3,0.9,0.3,0.1%,2024
133,Cody Schrader (LAR),1,3,3.0,3,0,0,1,1,6,6.0,0,0,1,0.9,0.9,1.0%,2024
134,Chris Collier (LV),5,12,2.4,4,0,0,1,2,-4,-4.0,0,0,6,0.8,0.1,0.0%,2024
135,Tyrion Davis-Price (FA),3,7,2.3,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,2024
136,Reggie Gilliam (BUF),3,7,2.3,4,0,0,0,0,0,0,0,0,14,0.7,0.1,0.0%,2024
137,Ke'Shawn Vaughn (FA),2,4,2.0,3,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2024
138,Darrynton Evans (FA),3,3,1.0,4,0,0,0,0,0,0,0,0,2,0.3,0.2,0.0%,2024
139,British Brooks (HOU),1,2,2.0,2,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0%,2024
140,Joshua Kelley (FA),1,2,2.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,2024
141,A.J. Dillon (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%,2024
142,Salvon Ahmed (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
143,La'Mical Perine (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
144,Javian Hawkins (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
145,Ashton Jeanty (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7%,2024
146,Ollie Gordon II (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9%,2024
147,Frank Gore Jr. (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,2024
148,Damien Martinez (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%,2024
149,Colson Yankoff (WAS),0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,1.1%,2024
150,Dante Miller (NYG),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024
151,Jawhar Jordan (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
152,Tahj Brooks (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1%,2024
153,Lew Nichols III (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7%,2024
154,Omarion Hampton (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2%,2024
155,Trevor Etienne (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3%,2024
156,Quinshon Judkins (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4%,2024
157,Jacob Saylors (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
158,Deneric Prince (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
159,Zavier Scott (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
160,Brady Russell (SEA),0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,2024
161,Ben VanSumeren (PHI),0,0,0,0,0,0,1,1,0,0.0,0,0,7,0.0,0.0,1.4%,2024
162,Carlos Washington Jr. (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
163,Kazmeir Allen (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2024
164,Scott Matlock (LAC),0,0,0,0,0,0,4,5,28,7.0,0,0,17,0.0,0.0,16.0%,2024
165,Lan Larison (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024
166,Robbie Ouzts (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
167,Josh Williams (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
168,Ahmani Marshall (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
169,Woody Marks (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1%,2024
170,Lucas Scott (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
171,Max Hurleman (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
172,Deion Hankins (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
173,Jacardia Wright (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
174,Brock Lampe (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
175,Kye Robichaux (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
176,Nathan Carter (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
177,Brashard Smith (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9%,2024
178,Cam Skattebo (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.4%,2024
179,Kaleb Johnson (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0%,2024
180,RJ Harvey (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.6%,2024
181,Kyle Monangai (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3%,2024
182,Dylan Sampson (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3%,2024
183,DJ Giddens (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7%,2024
184,Kalel Mullings (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024
185,LeQuint Allen Jr. (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,2024
186,Bhayshul Tuten (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2%,2024
187,Jordan James (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0%,2024
188,Jacory Croskey-Merritt (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4%,2024
189,Ja'Quinden Jackson (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024
190,Keaontay Ingram (KC),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
191,Ulysses Bentley IV (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
192,Adam Prentice (DEN),0,0,0,0,0,0,0,4,0,0,0,0,9,0.0,0.0,0.0%,2024
193,Gary Brightwell (CIN),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
194,Avery Williams (FA),0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0,1.1%,2024
195,D.J. Williams (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
196,Kendall Milton (CIN),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024
197,Phil Mafah (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,2024
198,Keilan Robinson (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
199,Elijah Mitchell (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%,2024
200,TreVeyon Henderson (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8%,2024
201,Chris Tyree (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
202,Donovan Edwards (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,2024
203,Corey Kiner (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024
204,Xazavian Valladay (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024
205,Zonovan Knight (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
206,Troy Hairston II (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.1%,2024
207,Brittain Brown (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%,2024
208,Devin Neal (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4%,2024
209,Jabari Small (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
210,Israel Abanikanda (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7%,2024
211,Raheim Sanders (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,2024
212,Jaydon Blue (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8%,2024
213,Malik Davis (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024
214,Jarquez Hunter (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5%,2024
215,Velus Jones Jr. (NO),3,11,3.7,6,0,0,1,1,8,8.0,0,1,2,0.0,0.0,0.0%,2024
216,Jakob Johnson (HOU),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
217,Shane Bannon (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
218,Jay Finley (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
219,Willie Carter (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
220,Kenny Irons (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
221,Chad Simpson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
222,Anthony Alridge (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
223,Dantrell Savage (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
224,Xavier Omon (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
225,Garrett Mills (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
226,Madison Hedgecock (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
227,Samkon Gado (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
228,John Kelly Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024
229,Nyheim Miller-Hines (LAC),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024
230,Taquan Mizzell (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
231,Trayveon Williams (CLE),0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2024
232,Mike Weber (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024
233,Andrew Beck (NYJ),0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0%,2024
234,Khari Blasingame (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024
235,Brennan Clay (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
236,Tim Flanders (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024
237,Dylan Laube (LV),1,0,0.0,0,0,0,0,0,0,0,0,1,6,-2.0,-0.3,1.1%,2024
