RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,OWN,Year
114,Chris Evans (FA),0,0,0,0,0,0,3,4,38,12.7,1,0,10,9.8,1.0,0.0%,2022
115,Darrynton Evans (FA),14,64,4.6,21,1,0,1,1,33,33.0,0,0,3,9.7,3.2,0.0%,2022
116,Kene Nwangwu (NYJ),9,14,1.6,8,0,0,2,2,21,10.5,0,0,14,9.5,0.7,0.0%,2022
117,Patrick Ricard (BAL),7,16,2.3,5,0,0,11,13,74,6.7,0,0,13,9.0,0.7,0.8%,2022
118,Phillip Lindsay (FA),15,49,3.3,15,0,0,6,8,19,3.2,0,0,3,8.8,2.9,0.0%,2022
119,Jordan Wilkins (FA),13,58,4.5,9,0,0,6,8,29,4.8,0,0,4,8.7,2.2,0.0%,2022
120,Tyler Badie (DEN),1,0,0.0,0,0,0,1,1,24,24.0,1,0,1,8.4,8.4,0.7%,2022
121,Jaret Patterson (FA),17,78,4.6,14,0,0,0,1,0,0,0,0,2,7.8,3.9,0.0%,2022
122,Ty Montgomery II (FA),2,-2,-1.0,0,0,0,3,4,15,5.0,1,0,1,7.3,7.3,0.0%,2022
123,Ke'Shawn Vaughn (FA),17,53,3.1,12,0,0,3,4,19,6.3,0,0,9,7.2,0.8,0.0%,2022
124,Zamir White (LV),17,70,4.1,22,1,0,0,0,0,0,0,0,11,7.0,0.6,1.0%,2022
125,Trayveon Williams (CLE),6,30,5.0,16,0,0,2,3,30,15.0,0,0,9,6.0,0.7,0.0%,2022
126,Myles Gaskin (FA),10,26,2.6,10,0,0,4,6,28,7.0,0,0,2,5.4,2.7,0.0%,2022
127,Isaiah Spiller (FA),18,41,2.3,11,0,0,3,3,13,4.3,0,0,5,5.4,1.1,0.0%,2022
128,Tony Jones Jr. (FA),10,24,2.4,7,0,0,5,8,30,6.0,0,0,3,5.4,1.8,0.0%,2022
