,PLAYER,FPTS/G,FPTS/G 22,FPTS 22
210,Snoop Conner (JAC) ,0.0,1.9681750134751956,33.46
211,Ken Walker III (SEA) ,0.0,1.9681750134751956,33.46
212,Kevin Harris (NE) ,0.0,1.9681750134751956,33.46
213,BJ Baylor (GB) ,0.0,1.9681750134751956,33.46
214,Kevin Marks Jr. (LAC) ,0.0,1.9681750134751956,33.46
215,Shermari Jones (CIN) ,0.0,1.9681750134751956,33.46
216,Connor Heyward (PIT) ,0.0,1.9681750134751956,33.46
217,ZaQuandre White (MIA) ,0.0,1.9681750134751956,33.46
218,Julius Chestnut (TEN) ,0.0,1.9681750134751956,33.46
219,Tyreik McAllister (DEN) ,0.0,1.9681750134751956,33.46
220,Zonovan Knight (NYJ) ,0.0,1.9681750134751956,33.46
221,Ben Mason (BAL) ,0.0,1.9681750134751956,33.46
222,Ty Chandler (MIN) ,0.0,1.9681750134751956,33.46
223,TJ Pledger (ARI) ,0.0,1.9681750134751956,33.46
224,John Lovett (CAR) ,0.0,1.9681750134751956,33.46
225,Anthony Alridge (WAS) ,0.0,1.9681750134751956,33.46
226,Tyler Allgeier (ATL) ,0.0,1.9681750134751956,33.46
227,Tayon Fleet-Davis (KC) ,0.0,1.9681750134751956,33.46
228,Trestan Ebner (CHI) ,0.0,1.9681750134751956,33.46
229,Ronnie Rivers (ARI) ,0.0,1.9681750134751956,33.46
230,Dameon Pierce (HOU) ,0.0,1.9681750134751956,33.46
231,Leddie Brown (LAC) ,0.0,1.9681750134751956,33.46
232,Zander Horvath (LAC) ,0.0,1.9681750134751956,33.46
233,Mataeo Durant (PIT) ,0.0,1.9681750134751956,33.46
234,Jeremiah Hall (NYG) ,0.0,1.9681750134751956,33.46
235,Rachaad White (TB) ,0.0,1.9681750134751956,33.46
236,D'Vonte Price (IND) ,0.0,1.9681750134751956,33.46
237,Tyler Badie (BAL) ,0.0,1.9681750134751956,33.46
238,Hassan Haskins (TEN) ,0.0,1.9681750134751956,33.46
239,Malik Davis (DAL) ,0.0,1.9681750134751956,33.46
240,Greg Bell (DET) ,0.0,1.9681750134751956,33.46
241,Isaih Pacheco (KC) ,0.0,1.9681750134751956,33.46
242,Bryant Koback (MIN) ,0.0,1.9681750134751956,33.46
243,Jaylen Warren (PIT) ,0.0,1.9681750134751956,33.46
244,De'Montre Tuggle (CHI) ,0.0,1.9681750134751956,33.46
245,Tyrion Davis-Price (SF) ,0.0,1.9681750134751956,33.46
246,Javian Hawkins (TEN) ,0.0,1.9681750134751956,33.46
247,Paul Quessenberry (HOU) ,0.0,1.9681750134751956,33.46
248,James Cook (BUF) ,0.0,1.9681750134751956,33.46
249,Breece Hall (NYJ) ,0.0,1.9681750134751956,33.46
250,Tyler Goodson (GB) ,0.0,1.9681750134751956,33.46
251,Jordan Mason (SF) ,0.0,1.9681750134751956,33.46
252,Abram Smith (NO) ,0.0,1.9681750134751956,33.46
253,Pierre Strong Jr. (NE) ,0.0,1.9681750134751956,33.46
254,Jashaun Corbin (NYG) ,0.0,1.9681750134751956,33.46
255,Jerome Ford (CLE) ,0.0,1.9681750134751956,33.46
256,Shane Bannon (KC) ,0.0,1.9681750134751956,33.46
257,Jay Finley (CIN) ,0.0,1.9681750134751956,33.46
258,Taiwan Jones (BUF) ,0.0,1.9681750134751956,33.46
259,Nick Bellore (SEA) ,0.0,1.9681750134751956,33.46
260,Chad Spann (HOU) ,0.0,1.9681750134751956,33.46
261,Garrett Mills (NE) ,0.0,1.9681750134751956,33.46
262,Kenny Irons (CIN) ,0.0,1.9681750134751956,33.46
263,Dantrell Savage (CAR) ,0.0,1.9681750134751956,33.46
264,Chad Simpson (WAS) ,0.0,1.9681750134751956,33.46
265,Samkon Gado (TEN) ,0.0,1.9681750134751956,33.46
266,Xavier Omon (SF) ,0.0,1.9681750134751956,33.46
267,Mike Bell (BUF) ,0.0,1.9681750134751956,33.46
268,Madison Hedgecock (NYG) ,0.0,1.9681750134751956,33.46
269,J.P. Holtz (NO) ,0.0,1.9681750134751956,33.46
270,Brandin Bryant (BUF) ,0.0,1.9681750134751956,33.46
271,Brian Hill (SF) ,0.0,1.9681750134751956,33.46
272,Tarik Cohen (FA) ,0.0,1.9681750134751956,33.46
273,Trey Edmunds (PIT) ,0.0,1.9681750134751956,33.46
274,Jason Cabinda (DET) ,0.0,1.9681750134751956,33.46
275,Gus Edwards (BAL) ,0.0,1.9681750134751956,33.46
276,Jordan Wilkins (TEN) ,0.0,1.9681750134751956,33.46
277,Elijah McGuire (FA) ,0.0,1.9681750134751956,33.46
278,Taquan Mizzell (NYG) ,0.0,1.9681750134751956,33.46
279,Tim Flanders (NO) ,0.0,1.9681750134751956,33.46
280,Willie Carter (CHI) ,0.0,1.9681750134751956,33.46
281,Kenjon Barner (TB) ,0.0,1.9681750134751956,33.46
282,Brennan Clay (DEN) ,0.0,1.9681750134751956,33.46
283,Nate McCrary (BAL) ,-0.1,1.8899685031988955,32.13
284,Khari Blasingame (CHI) ,-0.2,1.8117619929225954,30.8
285,Trenton Cannon (TEN) ,-0.2,1.8117619929225954,30.8
