RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
120,Marquise Goodwin (CHI) ,12,21,186,15.5,38,3,1,1,15,0,0,9,26.1,2.9,0.30%
121,Damion Ratley (DET) ,12,24,200,16.7,46,4,1,0,0,0,0,13,26,2,0.00%
122,Trey Quinn (LV) ,26,47,198,7.6,19,0,1,0,0,0,1,12,25.8,2.2,0.00%
123,Isaiah Ford (FA) ,23,35,244,10.6,28,2,0,1,11,0,0,9,25.5,2.8,0.00%
124,KeeSean Johnson (ARI) ,21,42,187,8.9,31,1,1,1,3,0,1,10,25,2.5,0.10%
125,Cordarrelle Patterson (ATL) ,11,17,83,7.5,33,1,0,17,103,0,0,16,24.6,1.5,2.60%
126,Javon Wims (CHI) ,18,39,186,10.3,37,1,1,0,0,0,0,16,24.6,1.5,0.10%
127,Laquon Treadwell (JAC) ,9,16,184,20.4,58,3,1,0,0,0,0,14,24.4,1.7,0.00%
128,Dante Pettis (NYG) ,11,24,109,9.9,21,2,2,0,0,0,0,11,23.5,2.1,0.20%
129,Bennie Fowler III (SF) ,23,36,193,8.4,17,0,0,1,20,0,0,8,23.3,2.9,0.00%
130,Byron Pringle (KC) ,12,16,170,14.2,28,3,1,0,0,0,0,16,23,1.4,1.70%
131,J.J. Arcega-Whiteside (PHI) ,10,22,169,16.9,30,4,1,0,0,0,0,16,22.9,1.4,0.60%
132,Duke Williams (BUF) ,12,19,166,13.8,41,3,1,0,0,0,0,4,22.6,5.7,0.00%
133,Zay Jones (LV) ,27,45,216,8,23,2,0,1,3,0,0,15,21.9,1.5,0.10%
134,Tim Patrick (DEN) ,16,31,218,13.6,38,3,0,0,0,0,0,8,21.8,2.7,5.50%
135,Kalif Raymond (DET) ,9,12,170,18.9,52,3,1,1,-5,0,1,8,20.5,2.6,0.10%
136,Trevor Davis (WAS) ,8,11,111,13.9,28,2,0,4,73,1,2,14,20.4,1.5,0.00%
137,Richie James Jr. (SF) ,6,10,165,27.5,57,3,1,2,-1,0,1,16,20.4,1.3,0.70%
138,Parris Campbell (IND) ,18,24,127,7.1,27,1,1,4,34,0,1,7,20.1,2.9,20.20%
139,Justin Hardy (FA) ,19,26,195,10.3,23,2,0,0,0,0,0,16,19.5,1.2,0.00%
140,Dontrelle Inman (WAS) ,12,21,181,15.1,28,4,0,0,0,0,0,7,18.1,2.6,0.00%
141,Olamide Zaccheaus (ATL) ,3,5,115,38.3,93,1,1,0,0,0,0,10,17.5,1.8,0.90%
142,Devin Smith (NE) ,5,9,113,22.6,51,2,1,0,0,0,0,4,17.3,4.3,0.00%
143,DeAndre Carter (WAS) ,11,14,162,14.7,46,4,0,0,0,0,1,16,14.2,0.9,0.00%
144,Keelan Doss (LV) ,11,14,133,12.1,31,1,0,0,0,0,0,8,13.3,1.7,0.00%
145,Mack Hollins (MIA) ,10,23,125,12.5,20,1,0,0,0,0,0,16,12.5,0.8,0.00%
146,Deon Cain (BAL) ,9,20,124,13.8,35,3,0,0,0,0,0,13,12.4,1,0.10%
147,Antonio Brown (TB) ,4,8,56,14,20,1,1,1,5,0,0,1,12.1,12.1,72.90%
148,Rashard Higgins (CLE) ,4,11,55,13.8,35,1,1,0,0,0,0,10,11.5,1.2,3.40%
149,Brandon Zylstra (CAR) ,8,12,106,13.3,40,2,0,0,0,0,0,8,10.6,1.3,0.10%
150,TJ Jones (FA) ,3,4,38,12.7,28,1,1,0,0,0,0,3,9.8,3.3,0.00%
151,Marcell Ateman (LV) ,5,10,116,23.2,36,3,0,0,0,0,1,12,9.6,0.8,0.00%
152,J.J. Nelson (IND) ,4,5,36,9,29,1,1,0,0,0,0,2,9.6,4.8,0.10%
153,Braxton Berrios (NYJ) ,6,13,115,19.2,69,2,0,0,0,0,1,16,9.5,0.6,0.20%
154,Deonte Harris (NO) ,6,6,24,4,13,0,0,4,31,0,1,14,9.5,0.7,1.10%
155,Robert Foster (MIA) ,3,18,64,21.3,24,3,0,2,29,0,0,13,9.3,0.7,0.00%
156,Christian Blake (ATL) ,11,24,91,8.3,13,0,0,0,0,0,0,9,9.1,1,0.10%
157,Antonio Callaway (KC) ,8,15,89,11.1,41,1,0,0,0,0,0,5,8.9,1.8,0.10%
158,Damion Willis (DEN) ,9,16,82,9.1,17,0,0,0,0,0,0,10,8.2,0.8,0.00%
159,Trent Sherfield (SF) ,4,13,80,20,38,2,0,0,0,0,0,16,8,0.5,0.00%
160,KhaDarel Hodge (CLE) ,4,10,76,19,41,1,0,0,0,0,0,16,7.6,0.5,0.10%
161,Ventell Bryant (CAR) ,1,1,15,15,15,0,1,0,0,0,0,12,7.5,0.6,0.00%
162,Chad Beebe (MIN) ,2,2,70,35,61,1,0,0,0,0,0,3,7,2.3,0.20%
163,Riley Ridley (CHI) ,6,7,69,11.5,32,1,0,0,0,0,0,5,6.9,1.4,0.10%
164,Chris Hogan (FA) ,8,15,67,8.4,13,0,0,0,0,0,0,7,6.7,1,0.00%
165,Tevin Jones (FA) ,4,10,61,15.3,28,1,0,0,0,0,0,5,6.1,1.2,0.10%
166,Chris Lacy (CHI) ,3,10,60,20,48,1,0,0,0,0,0,7,6,0.9,0.00%
167,Andre Patton (MIA) ,6,17,56,9.3,15,0,0,0,0,0,0,13,5.6,0.4,0.00%
168,DeAndrew White (BAL) ,4,9,51,12.8,18,0,0,0,0,0,0,10,5.1,0.5,0.00%
169,Deontay Burnett (FA) ,2,4,48,24,41,1,0,0,0,0,0,2,4.8,2.4,0.00%
170,Alexander Hollins (CLE) ,2,4,46,23,35,1,0,0,0,0,0,5,4.6,0.9,0.00%
171,Cedrick Wilson (DAL) ,5,8,46,9.2,14,0,0,0,0,0,0,6,4.6,0.8,0.20%
172,Jason Moore (LAC) ,2,5,43,21.5,32,1,0,0,0,0,0,10,4.3,0.4,0.00%
173,Geremy Davis (FA) ,3,3,38,12.7,19,0,0,0,0,0,0,8,3.8,0.5,0.00%
174,Steven Mitchell Jr. (HOU) ,2,6,37,18.5,21,1,0,0,0,0,0,4,3.7,0.9,0.00%
175,Ishmael Hyman (CAR) ,2,4,34,17,31,1,0,0,0,0,0,2,3.4,1.7,0.00%
176,Jordan Matthews (SF) ,4,12,33,8.3,10,0,0,0,0,0,0,3,3.3,1.1,0.00%
177,Devin Funchess (GB) ,3,5,32,10.7,16,0,0,0,0,0,0,1,3.2,3.2,0.80%
178,C.J. Board (NYG) ,2,4,31,15.5,23,1,0,0,0,0,0,4,3.1,0.8,0.00%
179,Travis Benjamin (SF) ,6,16,30,5,13,0,0,0,0,0,0,5,3,0.6,0.10%
180,Johnny Holton (NYG) ,3,15,21,7,18,0,0,1,9,0,0,16,3,0.2,0.00%
181,Cody Core (FA) ,3,5,28,9.3,11,0,0,0,0,0,0,16,2.8,0.2,0.00%
