RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
29,Corey Davis (NYJ) ,65,92,984,15.1,75,0,5,0,0,0,1,14,126.4,9.0,23.3%
30,Chris Godwin (TB) ,65,84,840,12.9,47,0,7,0,0,0,0,12,126.0,10.5,93.4%
31,Cole Beasley (FA) ,82,107,967,11.8,35,0,4,0,0,0,0,15,125.5,8.4,1.4%
32,Marquise Brown (ARI) ,58,100,769,13.3,70,0,8,1,1,0,0,16,125.0,7.8,94.4%
33,Brandon Aiyuk (SF) ,60,96,748,12.5,49,0,5,6,77,2,0,12,124.5,10.4,86.7%
34,Cooper Kupp (LAR) ,92,124,974,10.6,55,0,3,4,33,0,1,15,116.7,7.8,100.0%
35,Jarvis Landry (NO) ,72,101,840,11.7,32,0,3,4,10,1,0,15,116.0,7.7,52.9%
36,Michael Gallup (DAL) ,59,105,843,14.3,55,0,5,0,0,0,0,16,114.3,7.1,57.2%
37,Tyler Boyd (CIN) ,79,110,841,10.6,72,0,4,5,49,0,0,15,113.6,7.6,55.9%
38,Jamison Crowder (BUF) ,59,89,699,11.8,69,0,6,1,14,0,0,12,113.0,9.4,19.7%
39,Tim Patrick (DEN) ,51,79,742,14.5,61,0,6,0,0,0,0,15,110.2,7.3,28.5%
40,Russell Gage (TB) ,72,109,786,10.9,35,0,4,2,9,0,0,16,109.1,6.8,84.3%
41,T.Y. Hilton (FA) ,56,93,762,13.6,50,0,5,0,0,0,0,15,108.2,7.2,1.3%
42,Mike Williams (LAC) ,48,85,756,15.8,64,0,5,1,1,0,0,15,105.7,7.0,96.1%
43,Jerry Jeudy (DEN) ,52,113,856,16.5,92,0,3,0,0,0,0,16,105.6,6.6,94.1%
44,Marquez Valdes-Scantling (KC) ,33,63,690,20.9,78,0,6,4,13,0,1,16,104.3,6.5,57.6%
45,Emmanuel Sanders (BUF) ,61,82,726,11.9,51,0,5,1,12,0,0,14,103.8,7.4,1.3%
46,DeVante Parker (NE) ,63,103,793,12.6,31,0,4,0,0,0,0,14,103.3,7.4,35.3%
47,Gabriel Davis (BUF) ,35,62,599,17.1,56,0,7,1,0,0,0,16,101.9,6.4,91.4%
48,DJ Chark Jr. (DET) ,53,93,706,13.3,73,0,5,0,0,0,0,13,100.6,7.7,27.3%
49,Keelan Cole Sr. (LV) ,55,88,642,11.7,51,0,5,1,2,0,0,16,100.4,6.3,0.6%
50,Laviska Shenault Jr. (JAC) ,58,79,600,10.3,36,0,5,18,91,0,0,14,99.1,7.1,3.7%
51,Christian Kirk (JAC) ,48,79,621,12.9,80,0,6,2,3,0,0,14,98.4,7.0,78.2%
52,Sterling Shepard (NYG) ,66,90,656,9.9,29,0,3,6,49,1,0,12,96.5,8.0,4.4%
53,Julio Jones (FA) ,51,68,771,15.1,44,0,3,0,0,0,0,9,95.1,10.6,12.6%
54,Zach Pascal (PHI) ,44,71,629,14.3,42,0,5,0,0,0,0,16,92.9,5.8,0.8%
55,Darnell Mooney (CHI) ,61,98,631,10.3,53,0,4,4,20,0,0,16,91.1,5.7,91.9%
56,Darius Slayton (NYG) ,50,96,751,15.0,41,0,3,2,-1,0,1,16,91.0,5.7,1.5%
57,Mecole Hardman (KC) ,41,62,560,13.7,49,0,4,4,31,0,2,16,87.1,5.4,57.0%
58,Rashard Higgins (CAR) ,37,52,599,16.2,43,0,4,0,0,0,0,13,83.9,6.5,0.6%
59,David Moore (CHI) ,35,47,417,11.9,57,0,6,8,61,0,0,16,83.8,5.2,0.0%
60,Jakobi Meyers (NE) ,59,81,729,12.4,35,0,0,2,9,0,1,14,83.6,6.0,64.5%
61,Kendrick Bourne (NE) ,49,74,667,13.6,49,0,2,0,0,0,0,15,80.7,5.4,7.1%
62,Greg Ward (PHI) ,53,79,419,7.9,32,0,6,2,-4,0,0,16,80.1,5.0,0.1%
63,Travis Fulgham (DEN) ,38,67,539,14.2,42,0,4,0,0,0,0,13,77.9,6.0,0.1%
64,Hunter Renfrow (LV) ,56,77,656,11.7,53,0,2,0,0,0,1,16,75.6,4.7,92.1%
65,Josh Reynolds (DET) ,52,81,618,11.9,40,0,2,1,5,0,1,16,72.3,4.5,0.8%
66,Antonio Brown (FA) ,45,62,483,10.7,46,0,4,2,-2,0,0,8,72.1,9.0,1.5%
67,Isaiah McKenzie (BUF) ,30,34,282,9.4,46,0,5,10,9,0,0,16,69.6,4.4,2.4%
68,Scotty Miller (TB) ,33,53,501,15.2,48,0,3,3,14,0,0,16,69.5,4.3,0.2%
69,James Washington (DAL) ,30,56,392,13.1,50,0,5,0,0,0,0,16,69.2,4.3,2.7%
70,Tre'Quan Smith (NO) ,34,50,448,13.2,31,0,4,1,3,0,0,14,69.1,4.9,0.8%
71,Jalen Guyton (LAC) ,28,55,511,18.3,72,0,3,2,0,0,0,16,69.1,4.3,1.3%
72,Breshad Perriman (TB) ,30,60,505,16.8,53,0,3,1,6,0,0,12,69.1,5.8,0.2%
73,Damiere Byrd (ATL) ,47,77,604,12.9,42,0,1,2,15,0,0,16,67.9,4.2,0.1%
74,Allen Lazard (GB) ,33,46,451,13.7,72,0,3,2,17,0,0,10,64.8,6.5,83.7%
75,A.J. Green (ARI) ,47,104,523,11.1,33,0,2,0,0,0,0,16,64.3,4.0,7.0%
76,Odell Beckham Jr. (FA) ,23,43,319,13.9,43,0,3,3,72,1,0,7,63.8,9.1,30.7%
77,John Brown (FA) ,33,52,458,13.9,46,0,3,0,0,0,0,9,63.8,7.1,1.1%
78,Demarcus Robinson (LV) ,45,59,466,10.4,28,0,3,0,0,0,1,15,62.6,4.2,0.8%
79,Randall Cobb (GB) ,38,48,441,11.6,34,0,3,0,0,0,0,10,62.1,6.2,4.8%
80,Willie Snead IV (FA) ,33,48,432,13.1,34,0,3,0,0,0,0,13,61.2,4.7,0.0%
81,Danny Amendola (FA) ,46,69,602,13.1,50,0,0,1,2,0,0,14,60.4,4.3,0.1%
82,Braxton Berrios (NYJ) ,37,55,394,10.6,43,0,3,3,29,0,0,16,60.3,3.8,4.4%
83,KJ Hamler (DEN) ,30,56,381,12.7,49,0,3,9,40,0,0,13,60.1,4.6,2.1%
84,Anthony Miller (PIT) ,49,76,485,9.9,34,0,2,2,12,0,1,16,59.7,3.7,0.1%
85,Tyron Johnson (LV) ,20,26,398,19.9,55,0,3,3,17,0,0,12,59.5,5.0,0.1%
86,Michael Pittman Jr. (IND) ,40,61,503,12.6,45,0,1,3,26,0,0,13,58.9,4.5,98.4%
87,Henry Ruggs III (FA) ,26,43,452,17.4,72,0,2,9,49,0,2,13,58.1,4.5,10.9%
88,Chris Conley (HOU) ,40,63,471,11.8,51,0,2,0,0,0,1,15,57.1,3.8,0.4%
89,Preston Williams (MIA) ,18,35,288,16.0,47,0,4,0,0,0,0,8,56.8,7.1,0.1%
90,Jalen Reagor (PHI) ,31,54,396,12.8,55,0,1,4,26,0,0,11,56.2,5.1,1.4%
91,Cam Sims (WAS) ,32,48,477,14.9,50,0,1,1,5,0,0,16,54.2,3.4,0.1%
92,Keke Coutee (IND) ,33,40,400,12.1,64,0,3,0,0,0,3,8,54.0,6.8,0.1%
93,Golden Tate (FA) ,35,52,388,11.1,39,0,2,0,0,0,0,12,51.5,4.3,0.0%
94,Sammy Watkins (GB) ,37,55,421,11.4,37,0,2,1,3,0,1,10,51.4,5.1,7.1%
95,Jakeem Grant Sr. (CLE) ,36,54,373,10.4,30,0,1,3,20,0,0,14,51.3,3.7,0.6%
96,Miles Boykin (PIT) ,19,33,266,14.0,43,0,4,0,0,0,0,16,50.6,3.2,0.2%
97,Deebo Samuel (SF) ,33,44,391,11.8,35,0,1,8,26,0,0,7,47.7,6.8,99.9%
98,Larry Fitzgerald (FA) ,54,72,409,7.6,18,0,1,0,0,0,0,13,46.9,3.6,0.1%
99,Quintez Cephus (DET) ,20,35,349,17.5,49,0,2,0,0,0,0,13,46.9,3.6,0.7%
100,Kenny Golladay (NYG) ,20,32,338,16.9,48,0,2,0,0,0,0,5,45.8,9.2,57.0%
101,Donovan Peoples-Jones (CLE) ,14,20,304,21.7,75,0,2,0,0,0,0,12,44.4,3.7,4.5%
102,Michael Thomas (NO) ,40,55,438,11.0,24,0,0,1,1,0,0,7,43.9,6.3,92.3%
103,Marvin Hall (JAC) ,18,32,302,16.8,73,0,2,1,1,0,0,12,42.3,3.5,0.0%
104,Richie James Jr. (NYG) ,23,35,394,17.1,47,0,1,0,0,0,2,11,41.4,3.8,0.1%
105,Collin Johnson (NYG) ,18,31,272,15.1,46,0,2,0,0,0,0,14,41.2,2.9,0.1%
106,N'Keal Harry (CHI) ,33,57,309,9.4,30,0,2,2,0,0,1,14,40.9,2.9,0.8%
107,DaeSean Hamilton (FA) ,23,44,293,12.7,40,0,2,0,0,0,1,16,39.3,2.5,0.0%
108,Denzel Mims (NYJ) ,23,44,357,15.5,30,0,0,0,0,0,0,9,37.7,4.2,0.7%
109,Julian Edelman (FA) ,21,39,315,15.0,49,0,0,2,22,0,0,6,35.2,5.9,12.1%
110,Adam Humphries (FA) ,23,35,228,9.9,23,0,2,1,0,0,0,7,34.8,5.0,0.6%
111,Cedrick Wilson Jr. (MIA) ,17,28,189,11.1,42,0,2,3,-12,0,0,16,34.6,2.2,2.5%
112,Andy Isabella (ARI) ,21,35,224,10.7,54,0,2,1,-6,0,0,13,33.8,2.6,0.1%
113,Olamide Zaccheaus (ATL) ,20,32,274,13.7,51,0,1,1,0,0,0,11,33.4,3.0,0.8%
114,Devin Duvernay (BAL) ,20,26,201,10.1,39,0,0,4,70,0,0,16,33.1,2.1,4.8%
115,DeSean Jackson (FA) ,14,26,236,16.9,81,0,1,1,12,0,0,5,30.8,6.2,2.6%
116,Steven Sims Jr. (PIT) ,27,37,265,9.8,30,0,1,1,18,0,2,12,30.3,2.5,0.0%
117,Chad Beebe (HOU) ,20,30,201,10.1,40,0,2,0,0,0,1,14,30.1,2.2,0.0%
118,Chad Hansen (FA) ,17,24,236,13.9,38,0,1,0,0,0,0,5,29.6,5.9,0.0%
119,Tyler Johnson (TB) ,12,17,169,14.1,35,0,2,0,0,0,0,14,28.9,2.1,0.7%
120,Dontrelle Inman (FA) ,18,28,163,9.1,17,0,2,0,0,0,0,10,28.3,2.8,0.0%
121,Byron Pringle (CHI) ,13,17,160,12.3,37,0,1,0,0,0,0,12,28.0,2.3,2.2%
122,Freddie Swain (SEA) ,13,21,159,12.2,23,0,2,0,0,0,0,16,27.9,1.7,0.1%
123,Van Jefferson (LAR) ,19,31,220,11.6,31,0,1,1,-1,0,0,16,27.9,1.7,21.3%
124,Deonte Harris (NO) ,20,25,186,9.3,40,0,1,6,51,0,1,9,27.7,3.1,1.7%
125,Isaiah Ford (FA) ,28,44,276,9.9,18,0,0,0,0,0,0,10,27.6,2.8,0.0%
126,Mohamed Sanu Sr. (FA) ,17,24,187,11.0,21,0,1,1,3,0,0,10,27.0,2.7,0.0%
127,Marcus Johnson (SF) ,14,28,255,18.2,55,0,0,0,0,0,0,11,25.5,2.3,0.0%
128,Bryan Edwards (ATL) ,11,15,193,17.5,34,0,1,0,0,0,0,12,25.3,2.1,2.7%
129,Zay Jones (JAC) ,14,20,154,11.0,37,0,1,0,0,0,0,16,22.6,1.4,1.4%
130,Mack Hollins (LV) ,16,25,176,11.0,34,0,1,0,0,0,1,16,21.6,1.4,0.1%
131,Marquez Callaway (NO) ,21,27,213,10.1,27,0,0,0,0,0,0,11,21.3,1.9,2.5%
132,Bisi Johnson (MIN) ,14,19,189,13.5,29,0,0,0,0,0,0,16,20.9,1.3,0.1%
133,Gunner Olszewski (PIT) ,5,5,62,12.4,38,0,1,5,23,0,0,13,20.5,1.6,0.1%
134,Kenny Stills (FA) ,11,19,144,13.1,24,0,1,0,0,0,0,10,20.4,2.0,0.0%
135,Isaiah Wright (FA) ,27,35,197,7.3,22,0,0,3,16,0,1,14,19.3,1.4,0.0%
136,John Hightower (PHI) ,10,29,167,16.7,59,0,0,1,1,0,0,13,18.8,1.4,0.0%
137,Kalif Raymond (DET) ,9,15,187,20.8,61,0,0,1,-3,0,0,15,18.4,1.2,0.7%
138,Equanimeous St. Brown (CHI) ,7,13,117,16.7,24,0,1,1,7,0,0,12,18.4,1.5,0.2%
139,Cameron Batson (ATL) ,12,13,100,8.3,18,0,1,4,20,0,0,12,18.0,1.5,0.0%
140,KhaDarel Hodge (ATL) ,11,17,180,16.4,42,0,0,0,0,0,0,9,18.0,2.0,0.1%
141,Brandon Powell (LAR) ,12,18,69,5.8,13,0,2,2,7,0,1,15,17.6,1.2,0.1%
142,Alshon Jeffery (FA) ,6,13,115,19.2,39,0,1,0,0,0,0,7,17.5,2.5,0.0%
143,Mike Thomas (CIN) ,13,21,132,10.2,29,0,1,1,1,0,1,14,17.3,1.2,0.1%
144,KeeSean Johnson (SF) ,15,23,173,11.5,45,0,0,0,0,0,0,8,17.3,2.2,0.0%
145,Laquon Treadwell (JAC) ,6,7,49,8.2,14,0,2,0,0,0,0,5,16.9,3.4,0.6%
146,Dez Bryant (FA) ,6,11,47,7.8,16,0,2,0,0,0,0,6,16.7,2.8,2.6%
147,Jeff Smith (NYJ) ,17,37,167,9.8,21,0,0,0,0,0,0,12,16.7,1.4,0.0%
148,Quez Watkins (PHI) ,7,13,106,15.1,43,0,1,0,0,0,0,6,16.6,2.8,1.3%
149,Noah Brown (DAL) ,14,24,154,11.0,20,0,0,1,4,0,0,16,15.8,1.0,0.2%
150,Malcolm Perry (NE) ,9,13,92,10.2,25,0,1,3,5,0,0,9,15.7,1.7,0.0%
151,Auden Tate (ATL) ,14,22,150,10.7,19,0,0,0,0,0,0,9,15.0,1.7,0.2%
152,Christian Blake (ARI) ,13,18,141,10.8,25,0,0,0,0,0,0,16,14.1,0.9,0.0%
153,Malik Taylor (GB) ,5,6,66,13.2,26,0,1,1,9,0,0,15,13.5,0.9,0.0%
154,DeMichael Harris (IND) ,10,10,79,7.9,21,0,0,6,46,0,0,7,12.5,1.8,0.0%
155,Ray-Ray McCloud (SF) ,20,22,77,3.9,13,0,0,4,65,0,1,16,12.2,0.8,0.6%
156,Chris Hogan (FA) ,14,26,118,8.4,27,0,0,0,0,0,0,5,11.8,2.4,0.0%
157,Dante Pettis (CHI) ,4,6,76,19.0,33,0,1,0,0,0,1,7,11.6,1.7,0.1%
158,Javon Wims (CLE) ,6,12,48,8.0,13,0,1,1,2,0,0,13,11.0,0.8,0.0%
159,Jamal Agnew (JAC) ,13,20,89,6.8,20,0,0,6,33,0,1,14,10.9,0.8,0.6%
160,Lil'Jordan Humphrey (NE) ,3,5,46,15.3,17,0,1,0,0,0,0,3,10.6,3.5,0.0%
161,Alex Erickson (WAS) ,12,17,139,11.6,42,0,0,5,7,0,2,16,10.6,0.7,0.0%
162,J.J. Arcega-Whiteside (PHI) ,4,8,85,21.3,37,0,0,0,0,0,0,8,10.5,1.3,0.1%
163,Diontae Spencer (FA) ,3,6,26,8.7,10,0,0,3,19,0,0,11,10.5,1.0,0.0%
164,C.J. Board (NYG) ,11,16,101,9.2,16,0,0,1,3,0,0,14,10.4,0.7,0.0%
165,Justin Watson (KC) ,7,11,94,13.4,36,0,0,0,0,0,0,11,9.4,0.9,0.1%
166,Austin Mack (SF) ,7,11,91,13.0,50,0,0,0,0,0,0,11,9.1,0.8,0.0%
167,Joe Reed (LAC) ,0,1,0,0,0,0,0,5,29,1,0,11,8.9,0.8,0.0%
168,Austin Carr (FA) ,3,4,27,9.0,11,0,1,0,0,0,0,6,8.7,1.5,0.0%
169,Parris Campbell (IND) ,6,9,71,11.8,21,0,0,2,16,0,0,2,8.7,4.4,4.3%
170,Trent Taylor (CIN) ,10,21,86,8.6,29,0,0,0,0,0,0,12,8.6,0.7,0.1%
171,Jake Kumerow (FA) ,1,1,22,22.0,22,0,1,0,0,0,0,6,8.2,1.4,0.1%
172,Pharoh Cooper (FA) ,5,8,73,14.6,32,0,0,0,0,0,0,16,7.3,0.5,0.0%
173,Courtland Sutton (DEN) ,3,6,66,22.0,45,0,0,0,0,0,0,1,6.6,6.6,93.8%
174,Ashton Dulin (IND) ,3,6,53,17.7,34,0,0,2,11,0,0,13,6.4,0.5,0.1%
175,Tyrie Cleveland (DEN) ,6,9,63,10.5,17,0,0,0,0,0,0,10,6.3,0.6,0.0%
176,Damion Ratley (FA) ,4,10,63,15.8,29,0,0,0,0,0,0,5,6.3,1.3,0.0%
177,Ja'Marcus Bradley (CLE) ,5,11,60,12.0,22,0,0,0,0,0,0,3,6.0,2.0,0.0%
178,Steven Mitchell Jr. (FA) ,5,8,60,12.0,20,0,0,0,0,0,0,6,6.0,1.0,0.0%
179,Jaydon Mickens (FA) ,7,10,58,8.3,11,0,0,0,0,0,0,10,5.8,0.6,0.0%
180,KJ Hill Jr. (FA) ,7,11,73,10.4,25,0,0,0,0,0,1,15,5.3,0.4,0.0%
181,Nick Westbrook-Ikhine (TEN) ,3,8,33,11.0,19,0,0,0,0,0,0,14,5.3,0.4,2.3%
182,Isaiah Zuber (FA) ,2,2,29,14.5,16,0,0,2,21,0,0,4,5.0,1.3,0.0%
183,Trent Sherfield (MIA) ,5,7,50,10.0,26,0,0,0,0,0,0,15,5.0,0.3,0.1%
184,River Cracraft (MIA) ,6,9,41,6.8,12,0,0,0,0,0,0,9,4.1,0.5,0.0%
185,Ted Ginn Jr. (FA) ,3,6,40,13.3,29,0,0,0,0,0,0,5,4.0,0.8,0.0%
186,Riley Ridley (FA) ,4,4,39,9.8,18,0,0,0,0,0,0,5,3.9,0.8,0.0%
187,Robert Foster (NYG) ,2,6,37,18.5,28,0,0,0,0,0,0,4,3.7,0.9,0.0%
188,Brandon Zylstra (CAR) ,3,4,35,11.7,28,0,0,1,1,0,0,16,3.6,0.2,0.1%
189,Terry Godwin (FA) ,3,6,32,10.7,21,0,0,1,3,0,0,3,3.5,1.2,0.0%
190,Lawrence Cager (NYJ) ,2,6,35,17.5,19,0,0,0,0,0,0,2,3.5,1.8,0.0%
191,Seth Roberts (FA) ,4,6,31,7.8,12,0,0,0,0,0,0,7,3.1,0.4,0.0%
192,Josh Malone (TEN) ,4,6,16,4.0,13,0,0,1,12,0,0,4,2.8,0.7,0.0%
193,Darrius Shepherd (FA) ,5,8,46,9.2,19,0,0,0,0,0,1,8,2.6,0.3,0.0%
194,Antonio Gandy-Golden (WAS) ,1,7,3,3.0,3,0,0,1,22,0,0,6,2.5,0.4,0.1%
195,Daurice Fountain (KC) ,2,3,23,11.5,12,0,0,0,0,0,0,5,2.3,0.5,0.0%
196,Penny Hart (SEA) ,1,1,3,3.0,3,0,0,1,19,0,0,13,2.2,0.2,0.0%
197,Antonio Callaway (FA) ,2,4,20,10.0,13,0,0,0,0,0,0,5,2.0,0.4,0.0%
198,Tommylee Lewis (MIA) ,1,3,5,5.0,5,0,0,2,14,0,0,5,1.9,0.4,0.0%
199,Donte Moncrief (FA) ,1,2,15,15.0,15,0,0,1,4,0,0,6,1.9,0.3,0.0%
200,Deontay Burnett (FA) ,3,4,19,6.3,10,0,0,0,0,0,0,2,1.9,1.0,0.0%
201,John Ross (FA) ,2,7,17,8.5,15,0,0,0,0,0,0,3,1.7,0.6,0.0%
202,Jaleel Scott (FA) ,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0%
203,James Proche II (BAL) ,1,3,14,14.0,14,0,0,0,0,0,0,14,1.4,0.1,0.7%
204,Keith Kirkwood (CAR) ,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
205,Vyncint Smith (TB) ,1,3,13,13.0,13,0,0,0,0,0,0,7,1.3,0.2,0.0%
206,Cody Hollister (TEN) ,1,1,12,12.0,12,0,0,0,0,0,0,2,1.2,0.6,0.0%
207,Bennie Fowler III (FA) ,2,6,11,5.5,7,0,0,0,0,0,0,5,1.1,0.2,0.0%
208,Marcus Kemp (FA) ,1,1,11,11.0,11,0,0,0,0,0,0,10,1.1,0.1,0.0%
209,Gehrig Dieter (FA) ,1,2,10,10.0,10,0,0,0,0,0,0,4,1.0,0.3,0.0%
210,Trenton Irwin (CIN) ,1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
211,JoJo Natson (FA) ,0,0,0,0,0,0,0,1,3,0,0,3,0.3,0.1,0.0%
212,Kristian Wilkerson (NE) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
213,Isaiah Coulter (CHI) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
214,Kirk Merritt (NO) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
215,Dezmon Patmon (IND) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
216,Matt Cole (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
217,Chris Rowland (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
218,Dan Chisena (MIN) ,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
219,K.J. Osborn (MIN) ,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,7.2%
220,Malik Turner (SF) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
221,Hakeem Butler (FA) ,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
222,Derrick Willies (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
223,Rico Gafford (GB) ,0,2,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
224,Reggie Begelton (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
225,Lynn Bowden Jr. (MIA) ,28,37,211,7.5,22,0,0,9,32,0,0,10,0.0,0.0,0.1%
226,Quinton Bell (ATL) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
227,Juwann Winfree (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
228,Stanley Morgan Jr. (CIN) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.1%
229,Keelan Doss (NYG) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
230,Jason Moore Jr. (LAC) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
231,Alex Bachman (NYG) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
232,Jeff Badet (FA) ,0,1,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
233,Tony Brown (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
234,Jordan Matthews (SF) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
235,Tavon Austin (BUF) ,5,5,20,4.0,7,0,0,0,0,0,1,4,0.0,0.0,0.1%
236,Matthew Slater (NE) ,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
237,Taywan Taylor (FA) ,0,1,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
238,Marken Michel (WAS) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
239,Duke Williams (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
240,Chris Moore (HOU) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
241,Tajae Sharpe (CHI) ,0,3,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1%
242,Johnny Holton (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
243,Cyril Grayson Jr. (TB) ,0,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.1%
244,Fred Brown (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
245,Deante Burton (FA) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
246,Trey Quinn (DEN) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
247,Deon Cain (PHI) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
248,Justin Hardee (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
249,Kevin White (NO) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
250,Ty Montgomery (NE) ,3,6,27,9.0,17,0,0,19,101,0,0,6,0.0,0.0,0.1%
