RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
80,Mo Alie-Cox (IND) ,8,11,93,11.6,21,1,0,0,0,0,0,16,9.3,0.6,13.3,0.83,1.50%
81,J.P. Holtz (CHI) ,7,8,91,13,30,1,0,0,0,0,0,15,9.1,0.6,12.6,0.84,0.00%
82,Lee Smith (ATL) ,4,5,31,7.8,9,0,1,0,0,0,0,16,9.1,0.6,11.1,0.69,0.00%
83,Trey Burton (IND) ,14,24,84,6,16,0,0,0,0,0,0,9,8.4,0.9,15.4,1.71,13.60%
84,Luke Willson (SEA) ,8,10,79,9.9,17,0,0,0,0,0,0,9,7.9,0.9,11.9,1.32,0.00%
85,Adam Shaheen (MIA) ,9,13,74,8.2,18,0,0,0,0,0,1,8,7.4,0.9,11.9,1.49,0.10%
86,Cethan Carter (MIA) ,2,3,13,6.5,8,0,1,0,0,0,0,15,7.3,0.5,8.3,0.55,0.00%
87,Blake Bell (KC) ,8,15,67,8.4,30,1,0,0,0,0,0,15,6.7,0.4,10.7,0.71,0.20%
88,Geoff Swaim (TEN) ,13,17,65,5,9,0,0,0,0,0,0,6,6.5,1.1,13,2.17,0.10%
89,Durham Smythe (MIA) ,7,14,65,9.3,24,1,0,0,0,0,0,16,6.5,0.4,10,0.63,0.10%
90,Clive Walford (FA) ,4,8,57,14.3,19,0,0,0,4,0,0,8,6.1,0.8,8.1,1.01,0.00%
91,Tyler Conklin (MIN) ,8,10,58,7.3,20,1,0,0,0,0,0,16,5.8,0.4,9.8,0.61,0.30%
92,Luke Stocker (ATL) ,8,14,53,6.6,18,0,0,0,0,0,0,15,5.3,0.4,9.3,0.62,0.00%
93,Deon Yelder (WAS) ,3,4,50,16.7,24,1,0,0,0,0,0,10,5,0.5,6.5,0.65,0.00%
94,Lance Kendricks (FA) ,3,7,50,16.7,24,1,0,0,0,0,0,12,5,0.4,6.5,0.54,0.00%
95,Trevon Wesco (NYJ) ,2,3,47,23.5,32,1,0,1,2,0,0,16,4.9,0.3,5.9,0.37,0.00%
96,Ross Travis (ARI) ,4,6,51,12.8,25,1,0,0,0,0,1,3,3.1,1,5.1,1.7,0.00%
97,Codey McElroy (TB) ,1,1,30,30,30,1,0,0,0,0,0,1,3,3,3.5,3.5,0.00%
98,Drew Sample (CIN) ,5,6,30,6,21,1,0,0,0,0,0,9,3,0.3,5.5,0.61,0.70%
99,Pharaoh Brown (HOU) ,2,3,27,13.5,18,0,0,0,0,0,0,9,2.7,0.3,3.7,0.41,0.00%
100,Johnny Mundt (LAR) ,4,7,26,6.5,9,0,0,0,0,0,0,14,2.6,0.2,4.6,0.33,0.00%
101,Tanner Hudson (TB) ,2,5,26,13,14,0,0,0,0,0,0,9,2.6,0.3,3.6,0.4,0.00%
102,Eric Saubert (DEN) ,2,3,21,10.5,11,0,0,0,0,0,0,2,2.1,1.1,3.1,1.55,0.00%
103,Josh Oliver (BAL) ,3,6,15,5,6,0,0,0,0,0,0,4,1.5,0.4,3,0.75,0.10%
104,Isaac Nauta (GB) ,2,3,13,6.5,10,0,0,0,0,0,0,6,1.3,0.2,2.3,0.38,0.00%
105,Sean Culkin (KC) ,1,2,12,12,12,0,0,0,0,0,0,4,1.2,0.3,1.7,0.43,0.00%
106,Chris Manhertz (JAC) ,1,1,11,11,11,0,0,0,0,0,0,15,1.1,0.1,1.6,0.11,0.10%
107,Antony Auclair (HOU) ,1,3,11,11,11,0,0,0,0,0,0,8,1.1,0.1,1.6,0.2,0.00%
108,Scott Simonson (FA) ,2,2,11,5.5,10,0,0,0,0,0,0,6,1.1,0.2,2.1,0.35,0.00%
109,Levine Toilolo (NYG) ,2,2,10,5,8,0,0,0,0,0,0,13,1,0.1,2,0.15,0.00%
