RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
242,Bryant Koback (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
243,Jaylen Warren (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
244,De'Montre Tuggle (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
245,Tyrion Davis-Price (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1%
246,Javian Hawkins (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
247,Paul Quessenberry (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
248,James Cook (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0%
249,Breece Hall (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9%
250,Tyler Goodson (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
251,Jordan Mason (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
252,Jashaun Corbin (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
253,Dameon Pierce (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5%
254,Jerome Ford (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
255,Shane Bannon (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
256,Jay Finley (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
257,Taiwan Jones (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
258,Nick Bellore (SEA) ,0,0,0,0,0,0,1,1,4,4.0,0,0,10,0.0,0.0,0.0%
259,Chad Spann (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
260,Garrett Mills (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
261,Kenny Irons (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
262,Anthony Alridge (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
263,Dantrell Savage (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
264,Chad Simpson (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
265,Samkon Gado (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
266,Xavier Omon (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
267,Mike Bell (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
268,Madison Hedgecock (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
269,J.P. Holtz (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
270,Brandin Bryant (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
271,Brian Hill (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
272,Tarik Cohen (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%
273,Trey Edmunds (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
274,Jason Cabinda (DET) ,3,23,7.7,21,0,0,4,7,16,4.0,1,0,10,0.0,0.0,0.0%
275,Gus Edwards (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6%
276,Jordan Wilkins (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
277,Elijah McGuire (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
278,Taquan Mizzell (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
279,Tim Flanders (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
280,Willie Carter (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
281,Kenjon Barner (TB) ,4,0,0.0,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
282,Brennan Clay (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
283,Nate McCrary (BAL) ,1,-1,-1.0,0,0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.0%
284,Khari Blasingame (CHI) ,3,6,2.0,3,0,0,2,2,4,2.0,0,1,5,-1.0,-0.2,0.0%
285,Trenton Cannon (TEN) ,3,4,1.3,3,0,0,0,0,0,0,0,1,10,-1.6,-0.2,0.1%
