RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
528,Marken Michel (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
529,Brendan Langley (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.00%
530,Artavis Scott (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
531,Bug Howard (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
532,Cody Hollister (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
533,Stacy Coley (FA) ,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00%
534,Krishawn Hogan (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
535,Robert Davis (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
536,Rodney Adams (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
537,Mack Hollins (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
538,Malachi Dupre (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
539,Amara Darboh (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
540,Isaiah Ford (FA) ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
541,Chad Hansen (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
542,Freddie Martino (FA) ,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.10%
543,Geremy Davis (FA) ,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0.00%
544,Bradley Marquez (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
545,DeAndrew White (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
546,Diontae Spencer (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
547,Duron Carter (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
548,Devin Smith (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
549,Michael Bandy (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
550,J'Mon Moore (FA) ,2,3,15,7.5,10,0,0,0,0,0,1,12,-0.5,0,0.5,0.04,0.00%
551,Rod Streater (FA) ,0,0,0,0,0,0,0,1,-11,0,0,3,-1.1,-0.4,-1.1,-0.37,0.10%
552,J.J. Jones (FA) ,1,1,3,3,3,0,0,1,0,0,1,4,-1.7,-0.4,-1.2,-0.3,0.00%
553,Kaelin Clay (FA) ,0,0,0,0,0,0,0,0,0,0,1,2,-2,-1,-2,-1,0.00%
554,JoJo Natson (CLE) ,0,0,0,0,0,0,0,0,0,0,1,13,-2,-0.2,-2,-0.15,0.00%
555,Riley McCarron (FA) ,0,1,0,0,0,0,0,0,0,0,1,1,-2,-2,-2,-2,0.00%
