RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
129,Brandon LaFell (FA) ,12,16,135,11.3,24,1,2,0,0,0,0,6,25.5,4.3,31.5,5.25,0.00%
130,Justin Hardy (FA) ,14,22,133,9.5,19,0,2,0,0,0,0,16,25.3,1.6,32.3,2.02,0.00%
131,Cody Latimer (FA) ,11,16,190,17.3,39,4,1,0,0,0,0,6,25,4.2,30.5,5.08,0.00%
132,Chad Williams (KC) ,17,46,171,10.1,22,1,1,1,9,0,0,10,24,2.4,32.5,3.25,0.00%
133,Cody Core (FA) ,13,28,160,12.3,30,2,1,0,0,0,0,14,24,1.7,30.5,2.18,0.00%
134,Austin Carr (NO) ,9,14,97,10.8,25,1,2,0,0,0,0,14,21.7,1.6,26.2,1.87,0.00%
135,Marcell Ateman (LV) ,15,31,154,10.3,32,2,1,0,0,0,0,7,21.4,3.1,28.9,4.13,0.00%
136,Marvin Hall (NE) ,10,19,149,14.9,47,2,1,2,0,0,0,16,20.9,1.3,25.9,1.62,0.00%
137,DeAndre Carter (WAS) ,22,25,216,9.8,50,2,0,1,7,0,1,14,20.3,1.5,31.3,2.24,0.00%
138,Josh Bellamy (FA) ,14,25,117,8.4,20,1,1,0,0,0,0,16,19.7,1.2,26.7,1.67,0.00%
139,Brandon Marshall (FA) ,11,23,136,12.4,27,2,1,0,0,0,0,7,19.6,2.8,25.1,3.59,2.60%
140,Michael Floyd (FA) ,10,24,100,10,20,1,1,0,0,0,0,13,18,1.4,23,1.77,0.00%
141,Richie James Jr. (SF) ,9,14,130,14.4,53,2,1,0,0,0,1,13,17,1.3,21.5,1.65,0.70%
142,Alex Erickson (HOU) ,20,29,167,8.4,28,1,0,3,22,0,1,16,16.9,1.1,26.9,1.68,0.10%
143,Leonte Carroo (FA) ,2,4,94,47,74,2,1,1,14,0,0,9,16.8,1.9,17.8,1.98,0.00%
144,Jake Kumerow (BUF) ,8,11,103,12.9,49,1,1,0,0,0,0,5,16.3,3.3,20.3,4.06,0.10%
145,Andre Holmes (FA) ,13,24,162,12.5,24,5,0,0,0,0,0,15,16.2,1.1,22.7,1.51,0.00%
146,Deonte Thompson (FA) ,17,30,161,9.5,15,0,0,0,0,0,0,13,16.1,1.2,24.6,1.89,0.00%
147,Marcus Johnson (TEN) ,6,8,102,17,34,1,1,1,-2,0,0,5,16,3.2,19,3.8,0.10%
148,Cameron Meredith (FA) ,9,10,114,12.7,46,2,1,0,0,0,1,6,15.4,2.6,19.9,3.32,0.00%
149,D.J. Chark Jr. (JAC) ,14,32,174,12.4,38,2,0,0,0,0,1,11,15.4,1.4,22.4,2.04,89.60%
150,Vyncint Smith (NYJ) ,5,10,91,18.2,35,2,1,0,0,0,0,7,15.1,2.2,17.6,2.51,0.00%
151,Damion Ratley (DET) ,13,20,144,11.1,27,3,0,0,0,0,0,13,14.4,1.1,20.9,1.61,0.00%
152,Deontay Burnett (FA) ,10,15,143,14.3,29,3,0,0,0,0,0,5,14.3,2.9,19.3,3.86,0.00%
153,Andy Jones (SF) ,11,24,80,7.3,15,0,1,0,0,0,0,8,14,1.8,19.5,2.44,0.00%
154,Andre Roberts (HOU) ,10,18,79,7.9,20,1,1,2,20,0,1,16,13.9,0.9,18.9,1.18,0.00%
155,Trey Quinn (LV) ,9,10,75,8.3,15,0,1,1,0,0,0,3,13.5,4.5,18,6,0.00%
156,Brandon Powell (BUF) ,11,17,129,11.7,41,1,0,1,4,0,0,6,13.3,2.2,18.8,3.13,0.00%
157,Brice Butler (FA) ,6,10,60,10,23,1,1,0,0,0,0,8,12,1.5,15,1.88,0.00%
158,Darius Jennings (FA) ,11,15,101,9.2,36,1,0,1,2,0,0,16,11.1,0.7,16.6,1.04,0.00%
159,Tommylee Lewis (NO) ,3,3,60,20,28,2,1,2,10,0,1,7,11,1.6,12.5,1.79,0.00%
160,Eli Rogers (FA) ,12,14,79,6.6,17,0,0,1,-4,0,0,3,9.5,3.2,15.5,5.17,0.00%
161,De'Anthony Thomas (BAL) ,3,5,29,9.7,15,0,1,1,6,0,0,5,9.5,1.9,11,2.2,0.00%
162,Kevin White (SF) ,4,8,92,23,54,2,0,0,0,0,0,9,9.2,1,11.2,1.24,0.00%
163,Cameron Batson (TEN) ,8,11,82,10.3,26,1,0,1,1,0,0,11,8.3,0.8,12.3,1.12,0.30%
164,Corey Coleman (NYG) ,5,8,71,14.2,30,1,0,1,5,0,0,8,7.6,1,10.1,1.26,0.00%
165,J.J. Nelson (IND) ,7,19,64,9.1,17,0,0,4,0,0,0,14,6.4,0.5,9.9,0.71,0.10%
166,Russell Gage (ATL) ,6,10,63,10.5,22,1,0,0,0,0,0,15,6.3,0.4,9.3,0.62,23.40%
167,Derrick Willies (CLE) ,3,5,61,20.3,39,1,0,0,0,0,0,5,6.1,1.2,7.6,1.52,0.00%
168,Noah Brown (DAL) ,5,8,54,10.8,22,1,0,0,0,0,0,8,5.4,0.7,7.9,0.99,0.10%
169,Kamar Aiken (FA) ,6,7,53,8.8,18,0,0,0,0,0,0,5,5.3,1.1,8.3,1.66,0.00%
170,Dwayne Harris (CHI) ,6,6,40,6.7,13,0,0,2,12,0,0,15,5.2,0.3,8.2,0.55,0.00%
171,Bobo Wilson (FA) ,4,5,52,13,25,1,0,0,0,0,0,5,5.2,1,7.2,1.44,0.10%
172,Shelton Gibson (CAR) ,1,3,48,48,48,1,0,0,0,0,0,15,4.8,0.3,5.3,0.35,0.00%
173,Jawill Davis (FA) ,4,8,40,10,22,1,0,0,0,0,0,7,4,0.6,6,0.86,0.00%
174,Rashad Greene (FA) ,6,8,60,10,12,0,0,0,0,0,1,8,4,0.5,7,0.88,0.00%
175,Chad Beebe (MIN) ,4,4,39,9.8,18,0,0,0,0,0,0,3,3.9,1.3,5.9,1.97,0.20%
176,Jalen Tolliver (FA) ,3,6,37,12.3,15,0,0,0,0,0,0,3,3.7,1.2,5.2,1.73,0.00%
177,Auden Tate (CIN) ,4,12,35,8.8,15,0,0,0,0,0,0,7,3.5,0.5,5.5,0.79,0.50%
178,Javon Wims (CHI) ,4,5,32,8,16,0,0,0,0,0,0,4,3.2,0.8,5.2,1.3,0.10%
179,Charone Peake (FA) ,2,3,25,12.5,14,0,0,0,0,0,0,13,2.5,0.2,3.5,0.27,0.00%
180,River Cracraft (SF) ,1,2,44,44,44,1,0,0,0,0,1,8,2.4,0.3,2.9,0.36,0.00%
181,Rishard Matthews (FA) ,5,9,24,4.8,7,0,0,0,0,0,0,8,2.4,0.3,4.9,0.61,0.00%
182,Brandon Zylstra (CAR) ,1,2,23,23,23,1,0,0,0,0,0,16,2.3,0.1,2.8,0.18,0.10%
183,Gehrig Dieter (KC) ,1,3,22,22,22,1,0,0,0,0,0,4,2.2,0.6,2.7,0.68,0.10%
184,Justin Hunter (FA) ,3,13,21,7,12,0,0,0,0,0,0,5,2.1,0.4,3.6,0.72,0.00%
185,Malik Turner (DAL) ,2,3,20,10,19,0,0,0,0,0,0,6,2,0.3,3,0.5,0.00%
186,Ray-Ray McCloud (PIT) ,5,6,36,7.2,16,0,0,2,4,0,1,10,2,0.2,4.5,0.45,0.20%
187,Terrance Williams (FA) ,2,3,18,9,12,0,0,0,0,0,0,3,1.8,0.6,2.8,0.93,0.00%
188,Brian Quick (FA) ,3,3,18,6,6,0,0,0,0,0,0,6,1.8,0.3,3.3,0.55,0.00%
189,Nick Williams (FA) ,2,5,17,8.5,11,0,0,0,0,0,0,4,1.7,0.4,2.7,0.68,0.00%
190,KhaDarel Hodge (CLE) ,2,3,17,8.5,14,0,0,0,0,0,0,14,1.7,0.1,2.7,0.19,0.10%
191,Tim White (FA) ,1,1,14,14,14,0,0,0,0,0,0,3,1.4,0.5,1.9,0.63,0.00%
192,Sammie Coates (FA) ,1,2,12,12,12,0,0,0,0,0,0,12,1.2,0.1,1.7,0.14,0.00%
193,Josh Malone (NYJ) ,1,5,12,12,12,0,0,0,0,0,0,9,1.2,0.1,1.7,0.19,0.00%
194,Justin Hardee (NYJ) ,1,1,10,10,10,0,0,0,0,0,0,16,1,0.1,1.5,0.09,0.40%
195,Victor Bolden Jr. (DET) ,1,4,10,10,10,0,0,0,0,0,0,6,1,0.2,1.5,0.25,0.00%
196,Cam Phillips (FA) ,1,1,9,9,9,0,0,0,0,0,0,2,0.9,0.5,1.4,0.7,0.00%
197,Damiere Byrd (CHI) ,1,2,8,8,8,0,0,0,0,0,0,8,0.8,0.1,1.3,0.16,0.70%
198,Keon Hatcher (FA) ,1,2,8,8,8,0,0,0,0,0,0,3,0.8,0.3,1.3,0.43,0.00%
199,Darvin Kidsy (SEA) ,1,2,8,8,8,0,0,0,0,0,0,2,0.8,0.4,1.3,0.65,0.00%
200,Allen Lazard (GB) ,1,1,7,7,7,0,0,0,0,0,0,1,0.7,0.7,1.2,1.2,12.10%
201,Jeremy Kerley (FA) ,2,4,7,3.5,4,0,0,0,0,0,0,1,0.7,0.7,1.7,1.7,0.00%
202,Marcus Kemp (KC) ,1,2,7,7,7,0,0,0,0,0,0,16,0.7,0,1.2,0.08,0.10%
203,Justin Watson (TB) ,1,3,5,5,5,0,0,0,0,0,0,12,0.5,0,1,0.08,0.10%
204,Jehu Chesson (FA) ,1,2,7,7,7,0,0,1,-4,0,0,12,0.3,0,0.8,0.07,0.00%
205,Darrius Heyward-Bey (FA) ,1,2,9,9,9,0,0,1,-7,0,0,14,0.2,0,0.7,0.05,0.00%
206,Josh Pearson (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
207,Damion Willis (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
208,Juwan Green (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
209,Malik Taylor (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
