RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
284,Cordarrelle Patterson (ATL) ,64,232,3.6,13,0,1,21,25,132,6.3,0,0,16,0,0,10.5,0.66,2.60%
123,C.J. Prosise (TB) ,10,19,1.9,7,0,0,5,5,18,3.6,1,1,10,7.7,0.8,10.2,1.02,0.10%
119,Artavis Pierce (CHI) ,6,34,5.7,23,0,1,0,0,0,0,0,0,5,9.4,1.9,9.4,1.88,0.00%
135,Devine Ozigbo (JAC) ,1,1,1,1,0,0,9,9,42,4.7,0,0,8,4.3,0.5,8.8,1.1,0.10%
124,Reggie Gilliam (BUF) ,0,0,0,0,0,0,2,2,16,8,1,0,14,7.6,0.5,8.6,0.61,0.00%
130,Theo Riddick (LV) ,6,14,2.3,11,0,0,5,6,43,8.6,0,0,5,5.7,1.1,8.2,1.64,0.10%
126,Anthony Sherman (KC) ,3,8,2.7,6,0,0,1,2,5,5,1,0,12,7.3,0.6,7.8,0.65,0.10%
127,Jonathan Ward (ARI) ,0,0,0,0,0,0,1,1,11,11,1,0,14,7.1,0.5,7.6,0.54,0.10%
128,Buddy Howell (HOU) ,16,64,4,9,0,0,1,2,3,3,0,0,14,6.7,0.5,7.2,0.51,0.00%
131,Marlon Mack (IND) ,4,26,6.5,18,0,0,3,3,30,10,0,0,1,5.6,5.6,7.1,7.1,12.30%
134,Michael Burton (KC) ,7,18,2.6,7,0,0,4,4,28,7,0,0,15,4.6,0.3,6.6,0.44,0.00%
133,Trenton Cannon (CAR) ,10,33,3.3,13,0,0,3,3,16,5.3,0,0,14,4.9,0.4,6.4,0.46,0.00%
136,Khari Blasingame (TEN) ,0,0,0,0,0,0,4,5,39,9.8,0,0,15,3.9,0.3,5.9,0.39,0.00%
132,Dontrell Hilliard (HOU) ,9,48,5.3,19,0,0,1,1,2,2,0,0,7,5,0.7,5.5,0.79,0.00%
141,Alex Armah (NO) ,6,9,1.5,3,0,0,5,9,18,3.6,0,0,16,2.7,0.2,5.2,0.33,0.10%
137,Elijhaa Penny (NYG) ,6,15,2.5,5,0,0,2,3,20,10,0,0,14,3.5,0.3,4.5,0.32,0.10%
175,Malcolm Perry (MIA) ,3,5,1.7,6,0,0,9,13,92,10.2,1,0,9,0,0,4.5,0.5,0.00%
140,Austin Walter (NYJ) ,1,3,3,3,0,0,1,1,27,27,0,0,4,3,0.8,3.5,0.88,0.00%
138,Rashaad Penny (SEA) ,11,34,3.1,7,0,0,0,0,0,0,0,0,3,3.4,1.1,3.4,1.13,19.30%
153,Gabe Nabers (LAC) ,2,7,3.5,4,0,0,5,7,25,5,2,0,16,0.8,0.1,3.3,0.21,0.00%
139,Bo Scarbrough (SEA) ,6,31,5.2,12,0,0,0,0,0,0,0,0,1,3.1,3.1,3.1,3.1,0.00%
144,Andy Janovich (CLE) ,2,4,2,2,0,0,2,5,13,6.5,0,0,14,1.7,0.1,2.7,0.19,0.10%
155,Jonathan Williams (WAS) ,1,5,5,5,0,0,4,4,21,5.3,0,1,5,0.6,0.1,2.6,0.52,0.00%
279,Cethan Carter (MIA) ,0,0,0,0,0,0,5,7,53,10.6,0,0,15,0,0,2.5,0.17,0.00%
142,Rico Dowdle (DAL) ,7,24,3.4,7,0,0,0,0,0,0,0,0,15,2.4,0.2,2.4,0.16,0.10%
143,Jason Huntley (PHI) ,5,19,3.8,10,0,0,1,2,0,0,0,0,5,1.9,0.4,2.4,0.48,0.10%
145,LeVante Bellamy (DEN) ,4,11,2.8,8,0,0,1,1,5,5,0,0,5,1.6,0.3,2.1,0.42,0.00%
146,Scottie Phillips (HOU) ,2,9,4.5,5,0,0,1,1,7,7,0,0,8,1.6,0.2,2.1,0.26,0.00%
149,Chandler Cox (FA) ,0,0,0,0,0,0,2,2,9,4.5,0,0,8,0.9,0.1,1.9,0.24,0.10%
